#{"t_start": 1765924349.1483, "env_id": "LunarLander-v3"}
r,l,t
-189.94176,66,0.029721
-210.634578,69,0.040847
-105.09833,102,0.056527
-536.146886,109,0.073163
-266.343585,124,0.091839
-421.726073,121,0.110271
-191.270863,87,0.124093
-111.808405,84,0.13696
-111.52007,86,0.150564
-463.221836,123,0.170948
-201.320942,92,0.229174
-377.694689,91,0.266962
-316.720325,92,0.292181
-147.227287,133,0.316834
-124.086589,73,0.329283
-311.480585,81,0.342724
-337.37634,75,0.354739
-122.999507,79,0.367041
-192.482149,68,0.377721
-353.915308,114,0.395514
-136.772361,84,0.408526
-275.363101,101,0.456605
-65.471731,64,0.466632
-116.293624,80,0.479242
-399.939326,99,0.49479
-206.051637,105,0.510786
-146.343226,62,0.520406
-231.42698,87,0.533972
-432.437391,78,0.546122
-148.216773,101,0.561516
-182.194874,84,0.57469
-290.255562,103,0.590676
-72.984404,106,0.606893
-100.199553,103,0.654234
-98.902569,124,0.673631
-108.667863,91,0.687746
-23.115201,114,0.705265
-344.755499,108,0.721722
-139.144574,126,0.74101
-189.097386,112,0.758026
4.055087,88,0.771836
-102.230621,72,0.783005
-236.730784,133,0.803328
-143.500907,77,0.847229
-51.229015,101,0.862976
-153.069612,64,0.873139
-67.320246,67,0.883608
-45.274704,69,0.894385
-280.003093,143,0.916348
-246.336241,89,0.929964
-133.625822,93,0.944277
-101.026497,118,0.962735
-110.919578,66,0.973191
-371.005193,110,0.990114
-447.21029,89,1.035197
-120.059278,120,1.053504
-446.980207,100,1.068944
-154.162637,81,1.081639
-108.942921,83,1.094496
-331.186575,98,1.109342
-143.658191,101,1.124867
-177.476349,119,1.14301
-154.047404,96,1.157923
-121.196386,99,1.173133
-208.989108,74,1.215787
-214.792943,111,1.233079
-472.15588,113,1.251035
-112.425765,62,1.261629
-69.350693,78,1.275446
-136.385143,84,1.290674
-102.44034,103,1.307768
-176.076655,100,1.324611
-119.102481,69,1.335862
-275.251091,105,1.352607
-105.977743,107,1.414781
-202.743605,123,1.465831
-276.83282,121,1.484479
-109.201952,93,1.498926
-171.744498,95,1.514084
-160.325794,71,1.525184
-174.459025,104,1.541247
-137.438246,88,1.554877
-106.283295,81,1.567278
-0.927949,84,1.580603
-408.596569,84,1.593683
-46.578664,76,1.605446
-300.425156,114,1.654675
-141.978962,69,1.665299
-333.855836,108,1.681914
-126.70135,96,1.696673
-116.206613,94,1.711319
-259.85304,138,1.732681
-172.133738,91,1.746745
-277.44578,104,1.762551
-357.011247,101,1.778099
-92.251224,86,1.791268
-82.562022,75,1.802708
-54.29214,76,1.846373
-360.882214,101,1.861768
-105.213988,99,1.87711
-99.588315,81,1.889557
-285.728295,89,1.903174
-118.269574,77,1.915018
-152.293244,61,1.924409
-266.522161,84,1.937245
-136.073098,78,1.949188
-297.00261,117,1.966977
-112.962255,97,1.981832
-246.158857,110,2.031192
-106.062815,109,2.049201
-93.023089,61,2.059194
-176.915342,90,2.073946
-364.633235,100,2.089384
-210.138781,91,2.103457
-65.330781,66,2.113639
-208.648449,139,2.134611
-97.205963,57,2.143654
-368.675884,111,2.160755
-191.383592,72,2.171836
-175.2184,107,2.188086
-93.919988,73,2.230864
-98.656045,62,2.240576
-150.62827,83,2.253158
-118.738894,62,2.262918
-391.440124,94,2.277215
-107.745668,99,2.292191
-87.150066,79,2.304339
-216.660644,86,2.317371
-113.505516,70,2.328251
-73.090159,62,2.33804
-3.629501,86,2.351204
-285.025777,130,2.370814
-103.884794,81,2.414703
10.837101,139,2.436003
-291.56476,94,2.450352
-78.767605,56,2.459089
-93.063184,75,2.470448
-34.424836,90,2.484217
-77.342642,75,2.495568
-38.834793,75,2.507082
-122.208638,79,2.519058
-130.169923,68,2.529447
-405.444745,89,2.543194
-554.796473,92,2.557182
-15.066936,79,2.600443
-130.618261,58,2.609785
-81.761557,105,2.625919
-108.221687,83,2.638661
-86.678781,90,2.652273
-73.214227,126,2.671296
-173.445889,104,2.686991
-242.289626,82,2.699325
-37.075613,130,2.719441
-78.636938,71,2.730317
-333.95947,88,2.74378
-320.507357,76,2.786704
-186.000292,124,2.805626
-113.084349,71,2.816435
-134.77962,77,2.82837
-116.209614,99,2.84358
-140.119275,106,2.859689
-185.613965,60,2.868833
-108.892929,75,2.880433
-136.404461,88,2.893774
-138.095969,108,2.910347
-102.469159,95,2.92495
-169.432057,106,2.941199
-103.056347,89,2.986829
-124.385015,102,3.002504
-112.635488,74,3.013985
-114.301434,122,3.032643
-272.258816,89,3.046506
-83.135135,88,3.0601
-391.067512,117,3.078096
-244.077919,105,3.094081
-199.753936,117,3.111784
-336.792281,89,3.125385
