#{"t_start": 1765923062.433565, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.025933
-119.873241,78,0.039349
-185.423307,64,0.050129
-378.535805,103,0.066872
-94.028087,74,0.078602
-134.417226,82,0.107777
-69.773732,69,0.119083
-74.9191,67,0.129775
-82.719534,73,0.141095
-472.871167,89,0.155481
-84.11878,90,0.169621
-138.799759,94,0.184593
-67.479222,74,0.213472
-72.039714,59,0.222931
-38.371426,96,0.238191
-75.198282,133,0.258796
-206.728531,109,0.275663
-262.696878,93,0.306315
-496.44322,101,0.322571
-136.709613,78,0.335047
-116.439629,62,0.344594
-215.907887,78,0.356861
-68.074596,86,0.370392
-58.015931,83,0.400226
-133.916526,75,0.412776
-99.21807,74,0.424289
-269.49065,125,0.443568
-120.577891,107,0.46003
-59.456204,70,0.470995
-30.304724,98,0.501886
-187.941828,98,0.517197
-108.186052,62,0.527121
-155.182843,116,0.545459
-208.315445,81,0.558231
-204.200809,113,0.591411
-138.5625,109,0.608294
-288.235311,77,0.620658
-183.275893,85,0.634061
-83.00671,119,0.652333
-187.08326,78,0.664546
-124.531948,103,0.695565
-130.422542,79,0.707768
-156.741064,88,0.721413
-108.234466,78,0.733575
-356.463624,101,0.74901
-154.014734,76,0.760633
-72.5856,70,0.786668
-427.091022,97,0.801598
-163.092802,68,0.812218
-299.387513,119,0.83065
-204.980553,116,0.848332
-83.561325,76,0.875874
-143.575565,129,0.896103
-339.514609,99,0.911088
-136.270824,96,0.92576
-237.927515,93,0.940015
-110.417276,87,0.968394
-243.346164,120,0.987035
-161.306911,63,0.99687
-113.015282,98,1.012006
-327.877907,89,1.025647
-178.27851,79,1.038179
-406.064016,106,1.072047
-268.319288,112,1.08938
-129.851183,98,1.104717
-87.09628,65,1.114959
-70.790454,59,1.12405
-104.164701,70,1.134858
-193.908793,104,1.167527
-24.399496,133,1.187983
-164.487764,95,1.202879
-106.672439,117,1.220835
-127.993451,88,1.235119
-109.368572,76,1.271159
-114.67253,77,1.283856
-256.446413,114,1.302131
23.090635,79,1.315174
-151.316959,121,1.372056
-149.155383,105,1.404079
-245.401471,130,1.424063
-97.369939,60,1.433731
-330.315156,96,1.448657
-90.490721,72,1.459696
-342.429415,87,1.473037
-68.231963,64,1.498397
-94.855279,78,1.5103
-224.776186,153,1.533928
-87.713514,72,1.544938
-49.571228,68,1.555279
-60.541781,111,1.57228
-106.765334,68,1.598214
-63.928588,71,1.609146
-229.051594,79,1.621516
-151.936808,66,1.631966
-91.48983,100,1.647403
-337.047611,98,1.662564
-127.716807,68,1.688321
-222.25547,123,1.707107
-242.456543,98,1.721997
-212.538478,132,1.742281
-79.275336,65,1.752511
-281.2957,146,1.790008
-89.162554,138,1.811099
-189.165575,118,1.829277
-170.513014,106,1.84534
-286.878487,133,1.88074
-158.349358,82,1.893633
-141.858613,88,1.907323
-17.337792,112,1.924454
-163.700505,133,1.944787
-109.354964,62,1.970024
-272.316504,130,1.989939
-63.83508,98,2.005138
-117.995156,133,2.025332
-307.137038,101,2.040785
-95.25066,93,2.070463
-97.103852,61,2.079959
-41.985938,114,2.097525
-138.390223,113,2.114705
-189.345214,128,2.134244
-117.790895,72,2.160438
