#{"t_start": 1765923366.101408, "env_id": "LunarLander-v3"}
r,l,t
-91.035323,91,4.154267
-195.078789,92,4.16829
-119.148727,82,4.180887
-262.517471,97,4.228731
-158.149694,69,4.2398
-133.274979,105,4.255932
-136.260619,71,4.267087
-209.755194,92,4.281391
-71.633145,65,4.291582
-234.740052,85,4.304541
-79.635879,69,4.315296
-92.938112,61,4.324701
-132.804903,124,4.343755
-126.9276,88,4.357264
-132.302046,89,4.370929
-204.928043,89,4.418524
-173.280747,118,4.43643
-142.654216,100,4.45219
-103.962597,68,4.462993
-112.369574,100,4.478374
-219.591083,111,4.495339
-107.39667,68,4.505866
-88.808729,95,4.521049
-84.616216,64,4.531345
-118.165235,71,4.542316
-109.341038,95,4.557418
-150.908663,118,4.608145
-175.814739,89,4.622017
-140.168206,89,4.635986
-255.6967,94,4.650703
-113.639091,109,4.667693
-75.714238,63,4.677442
-157.51221,124,4.696522
-108.459138,103,4.7123
-241.193886,83,4.725382
-229.438803,70,4.736468
-39.790703,105,4.752624
-163.796234,119,4.803131
-89.745311,62,4.813035
-60.716559,105,4.82923
-211.677206,114,4.846592
-96.015015,85,4.859906
-161.487442,95,4.874726
-315.609629,90,4.888283
-73.897603,119,4.906152
-107.038135,63,4.916124
-83.362709,63,4.926099
-64.531817,94,4.940428
-156.542973,83,4.953232
-161.342283,80,4.998218
-119.769384,65,5.008371
-29.228386,117,5.026643
-110.753896,104,5.042662
-194.674841,96,5.05748
-70.102294,66,5.067858
-105.771752,117,5.08553
-220.782486,107,5.101859
-121.304295,69,5.112739
-141.132932,95,5.127195
-100.207528,78,5.139223
-69.150052,96,5.186904
-296.023699,93,5.201436
-302.057063,75,5.213144
-148.453842,82,5.225602
-161.960062,114,5.243376
-102.136626,88,5.2568
-167.726969,144,5.279194
-135.557232,111,5.296443
-73.520035,119,5.314842
-240.638971,65,5.325052
-307.903438,113,5.374407
-122.438028,99,5.389863
48.540955,98,5.405088
-83.256765,83,5.417871
-211.830902,82,5.430475
-103.172844,88,5.44399
-399.078367,98,5.459016
-60.484373,78,5.471018
-122.348496,103,5.486805
-98.520381,84,5.499709
-137.877844,79,5.511908
-137.20944,81,5.52424
-566.386021,111,5.573936
-74.242535,69,5.584778
-125.992457,78,5.596981
-140.486333,106,5.613155
-146.916177,85,5.626262
-106.426225,112,5.643568
-98.660663,69,5.654212
-126.712156,83,5.667008
-110.255684,83,5.679769
90.702089,1000,5.870442
-68.417416,74,5.88206
-194.264805,66,5.892122
-81.806602,71,5.903169
-82.851828,97,5.950949
-298.696194,116,5.968964
-376.658489,141,5.99059
-57.669536,88,6.004388
-346.917793,87,6.017688
-98.225862,102,6.033589
-262.214985,122,6.052387
-125.375597,87,6.066126
-194.470595,100,6.081409
-99.460757,63,6.091207
-118.023061,92,6.138084
-192.031399,86,6.151497
-102.069508,107,6.168397
-5.255923,80,6.181132
-81.815592,70,6.192016
-112.265884,86,6.205185
-355.468635,137,6.226156
-111.602775,91,6.240066
-114.088836,88,6.253609
-72.24813,67,6.264197
-93.044358,121,6.282516
-178.588702,100,6.330944
-85.984906,69,6.34156
-70.057748,97,6.35672
-77.961658,91,6.370859
-183.080732,78,6.382929
-208.560455,80,6.395428
-96.09542,108,6.411921
-92.633968,114,6.429471
-88.000096,76,6.441022
-124.527929,90,6.45491
-66.900694,62,6.464695
-158.985847,135,6.517356
-153.581341,99,6.53272
-271.998681,117,6.550782
-141.145888,127,6.570153
-28.324154,107,6.586974
-75.035406,93,6.601328
-235.726102,122,6.620069
-112.32449,99,6.635334
-80.82472,129,6.654986
-200.648494,108,6.671502
-252.958073,69,6.714685
-330.82524,130,6.734851
-142.007621,117,6.75266
-115.913595,136,6.773142
-100.758161,69,6.7838
-121.818942,79,6.795951
-129.351377,92,6.810063
-120.747373,122,6.828746
-152.388368,96,6.843657
-91.613657,71,6.8545
-69.108593,67,6.897628
-22.06396,102,6.913595
-37.453212,75,6.925172
22.643543,91,6.939354
-301.267852,102,6.955109
-246.236267,135,6.975714
-113.949174,120,6.994335
-305.270112,148,7.016841
-315.272961,86,7.030066
-140.63905,121,7.048539
-209.719205,91,7.095382
-146.384443,76,7.107028
-97.656249,95,7.121781
-127.38546,100,7.137336
-72.060367,69,7.14815
-86.692982,78,7.160156
-138.817247,68,7.170535
-134.140751,117,7.188289
-114.644526,114,7.205743
14.566474,120,7.224312
-237.020951,129,7.243904
-174.764506,98,7.291149
-88.910204,60,7.300633
-90.388249,99,7.316048
-108.421918,107,7.332548
-329.536971,94,7.347359
-154.695281,81,7.359927
-167.90237,99,7.374911
-77.014652,73,7.386209
-125.787174,93,7.400606
-139.866036,75,7.41225
-248.845818,96,7.427107
-147.186668,112,7.476736
-173.371622,64,7.486801
-232.118456,115,7.504325
-172.361864,62,7.514055
-24.995522,124,7.532965
-136.012485,79,7.54538
-158.74809,72,7.556506
-175.512298,94,7.570889
-159.538849,107,7.587374
-130.93316,66,7.597809
-247.235538,114,7.615405
-284.194331,142,7.669517
-97.074309,59,7.678833
-134.673621,64,7.688825
-123.223936,72,7.70006
-147.537905,62,7.709837
-106.268859,87,7.723182
-97.770307,80,7.735481
-123.151289,69,7.746382
-126.195244,81,7.758785
-183.85417,106,7.775254
-262.073524,84,7.78811
-93.66712,66,7.798452
-116.027757,96,7.813314
-132.213469,86,7.858415
-299.20533,114,7.876148
-192.094783,120,7.894611
-253.222807,113,7.911936
-102.989727,110,7.928788
-113.033465,102,7.944424
-343.285102,115,7.961837
-68.14932,64,7.994323
-146.275471,72,8.007117
-72.050599,77,8.019088
-60.858712,65,8.029604
-90.518924,76,8.074625
-169.258591,85,8.088053
-130.731774,83,8.100849
-145.516947,136,8.121518
-137.744719,67,8.132002
-71.023885,102,8.147545
-174.921159,101,8.16291
-76.469267,76,8.174511
-89.638318,97,8.189556
-186.79699,86,8.202968
-155.041816,92,8.217007
-425.401556,107,8.266023
-225.447508,89,8.279712
-207.807834,119,8.297894
-71.556826,64,8.307676
-148.103287,100,8.323057
-143.987913,97,8.338098
-255.120721,140,8.359602
-132.899187,98,8.374622
-278.632323,121,8.393887
-99.546236,71,8.40469
-185.941813,92,8.450973
-119.120701,64,8.460992
-132.811668,75,8.472328
-257.897198,113,8.489466
-163.429132,111,8.506535
-73.01505,73,8.518031
-348.804261,83,8.53077
-467.096981,119,8.548677
-152.468592,118,8.566603
-94.402171,66,8.576834
-156.149469,122,8.595261
-241.384647,94,8.641742
-79.773207,83,8.654423
-347.531773,108,8.670866
-137.680543,66,8.680988
-102.519583,75,8.692319
-96.435212,70,8.703246
-133.395057,81,8.715792
