#{"t_start": 1765923193.422495, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.021531
-119.873241,78,0.033371
-185.423307,64,0.043157
-378.535805,103,0.059016
-94.028087,74,0.070296
-134.417226,82,0.097991
-69.773732,69,0.108784
-74.9191,67,0.119002
-82.719534,73,0.13035
-472.871167,89,0.144024
-84.11878,90,0.157661
-138.799759,94,0.171816
-67.479222,74,0.198008
-72.039714,59,0.207806
-38.371426,96,0.22252
-75.198282,133,0.242651
-206.728531,109,0.259313
-262.696878,93,0.288369
-496.44322,101,0.303525
-136.709613,78,0.315421
-116.439629,62,0.325032
-215.907887,78,0.336933
-68.074596,86,0.350264
-58.015931,83,0.378041
-133.916526,75,0.38957
-99.21807,74,0.400807
-269.49065,125,0.419549
-120.577891,107,0.435884
-59.456204,70,0.446572
-30.304724,98,0.476418
-187.941828,98,0.49127
-108.186052,62,0.500798
-155.182843,116,0.518517
-208.315445,81,0.531467
-204.200809,113,0.563819
-138.5625,109,0.580129
-288.235311,77,0.592102
-183.275893,85,0.604985
-83.00671,119,0.62304
-187.08326,78,0.634959
-124.531948,103,0.665934
-130.422542,79,0.678023
-158.206852,86,0.691195
-296.709724,101,0.706461
-258.76412,101,0.721913
-46.188147,76,0.733697
-69.510151,60,0.758246
2.007237,124,0.777272
-84.225357,104,0.793118
-132.008375,74,0.804351
-84.783607,106,0.820374
-151.551491,79,0.847483
-212.163389,99,0.862605
-284.442923,126,0.881556
-162.815644,113,0.898463
-243.01403,105,0.914432
-215.285296,100,0.944744
-137.665572,90,0.958595
-182.512114,101,0.973963
-116.302277,70,0.98461
-174.401721,113,1.00177
-146.639839,100,1.031983
-185.687877,91,1.04632
-110.247184,70,1.056956
-127.054472,78,1.068846
-339.215976,119,1.087053
-103.091391,75,1.098614
-374.331751,115,1.131053
-215.579262,98,1.146122
-197.781587,137,1.166733
-134.044181,77,1.178367
-203.703993,68,1.188892
-178.595187,118,1.222041
-20.858187,92,1.237186
-141.193139,98,1.253063
-127.568361,67,1.264054
-321.147368,97,1.279037
-252.621579,87,1.292835
-126.961493,93,1.365206
-87.526393,115,1.382958
-134.641629,72,1.394122
-203.874185,117,1.412161
-372.95035,91,1.426129
-111.487117,83,1.455149
-87.163367,89,1.468828
-133.075103,63,1.478576
-253.173679,153,1.501389
-326.254817,91,1.515598
-73.345601,69,1.526181
-169.375131,110,1.558079
-39.424855,65,1.568039
-119.919019,73,1.579177
-144.46075,117,1.596954
-88.420919,70,1.607753
-101.450557,83,1.620313
-5.128054,103,1.651013
-308.644157,110,1.667817
-109.676977,80,1.67992
-132.715236,101,1.695222
-105.072333,65,1.705201
-328.020297,165,1.745457
-64.706443,67,1.755708
-136.754427,105,1.771492
-98.244802,80,1.78366
-119.226211,118,1.80151
-241.269742,96,1.831519
-190.544079,90,1.845578
-24.694231,73,1.856887
-169.912364,94,1.871217
-154.189224,75,1.882616
-95.790157,105,1.898872
-257.951836,101,1.930181
-255.996516,93,1.944541
-100.98191,105,1.96074
-102.532621,79,1.97293
-88.066909,92,1.986904
-184.451812,107,2.018785
-162.743505,90,2.032872
-71.23305,89,2.046642
-105.906343,69,2.057315
-75.147396,73,2.068514
-119.489543,114,2.085954
-112.540592,64,2.111311
-71.68476,138,2.1323
-98.391609,90,2.146309
-24.674313,115,2.163815
-92.744133,69,2.174222
-105.604658,76,2.2017
-56.026638,120,2.22024
-232.972904,129,2.239959
-142.083827,136,2.26057
