#{"t_start": 1765922912.342655, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.026538
-119.873241,78,0.039099
-185.423307,64,0.050354
-378.535805,103,0.067026
-94.028087,74,0.078915
-134.417226,82,0.108829
-69.773732,69,0.119748
-74.9191,67,0.131601
-82.719534,73,0.1446
-472.871167,89,0.159692
-84.11878,90,0.173812
-138.799759,94,0.188516
-67.479222,74,0.217443
-72.039714,59,0.226933
-38.371426,96,0.242101
-75.198282,133,0.262764
-218.989194,110,0.280026
-145.080813,98,0.311969
-177.319276,127,0.332243
-211.215753,107,0.349135
-232.349139,87,0.36305
-105.322138,88,0.376676
25.10712,91,0.407142
-131.366236,80,0.420296
-86.485699,73,0.43206
-190.571803,120,0.451162
-121.183311,84,0.464869
-199.160739,111,0.483231
-273.856712,119,0.520308
-286.192441,103,0.536223
-156.803024,79,0.548911
-106.649672,134,0.570095
-351.441519,92,0.600472
-183.573033,92,0.614978
-246.480905,99,0.630371
-94.16996,73,0.641888
-158.932028,65,0.652084
-155.249763,102,0.667995
-134.476383,106,0.699786
-289.750341,118,0.718053
-89.90909,74,0.729594
-108.244356,92,0.744074
-56.80774,75,0.75572
-218.257913,121,0.774355
-54.1599,71,0.800806
-34.49785,133,0.821482
-92.498273,90,0.835279
-181.127725,80,0.847688
-101.845509,81,0.860345
-199.061365,124,0.898562
-101.227369,82,0.912522
-92.229153,67,0.923437
-105.388218,97,0.93896
-80.363384,68,0.956132
-307.507774,157,1.002646
-253.753865,101,1.01984
-238.78803,84,1.033586
-94.407167,74,1.045578
-131.771176,78,1.057871
-350.347285,77,1.069793
-55.119932,107,1.102403
-316.923906,109,1.119469
-119.90527,81,1.131982
-104.39662,71,1.143047
-200.283291,121,1.162051
-59.383186,67,1.172847
-155.089188,106,1.204726
-442.424257,108,1.221842
-87.977971,109,1.240606
-99.216552,77,1.254576
-335.721411,114,1.273111
-232.646305,118,1.312911
-69.578757,73,1.325187
-103.01147,67,1.344809
-344.314049,92,1.39704
-94.539232,93,1.411537
-299.053811,110,1.444816
-315.350983,114,1.462707
-557.256177,98,1.478065
-369.458063,89,1.491941
-402.943568,105,1.508044
-310.225882,86,1.521512
-61.649721,73,1.5485
-69.495384,64,1.558748
-144.235306,157,1.582857
-76.145935,84,1.595863
-66.593529,89,1.609638
-118.147762,91,1.6409
-290.188866,97,1.656311
-287.703068,114,1.67394
-170.313337,115,1.691643
-124.12252,62,1.701357
-105.466778,73,1.712598
-134.680131,80,1.740711
-104.787629,92,1.754987
-362.96063,96,1.769943
-65.994603,69,1.78071
-191.080568,81,1.793188
-88.196522,68,1.803623
-101.57658,77,1.830761
-61.812742,75,1.842558
-150.394844,73,1.853948
-103.285565,97,1.868897
-112.591449,96,1.883909
-72.907144,69,1.894778
23.300181,148,1.934066
-107.526212,79,1.946623
-292.17724,140,1.968144
-110.164524,78,1.980287
-223.440682,71,1.991297
-68.538727,113,2.024309
-34.131601,77,2.036465
-95.84498,116,2.054298
-85.028624,128,2.074065
-111.87296,109,2.090671
-126.871918,120,2.124798
-332.437392,111,2.141825
-49.909041,93,2.156118
-310.206897,105,2.172478
-196.030892,96,2.187175
-266.551679,90,2.217248
-83.10119,82,2.229927
-98.886854,87,2.243163
-159.036587,105,2.259072
-494.910783,116,2.27732
-282.074284,81,2.305495
-281.988994,107,2.321713
-294.227696,121,2.34005
-166.643802,148,2.362444
-53.378377,80,2.374894
-347.632584,157,2.414247
-35.345884,128,2.433925
-303.587366,80,2.446872
-132.107088,92,2.461062
-437.154377,139,2.498202
-72.971976,93,2.512561
-35.652932,95,2.527163
-204.278497,104,2.543081
-154.237486,105,2.559079
-246.452732,83,2.587276
-259.282478,106,2.603504
-230.736738,112,2.620617
-157.96616,72,2.631762
-175.784711,170,2.657429
-52.263594,92,2.687127
-299.173804,92,2.701577
-260.941948,95,2.716078
-298.747591,153,2.739449
-273.559803,130,2.775218
-84.351679,139,2.796425
-80.165408,79,2.808514
-145.35861,75,2.81996
3.621909,133,2.840412
-90.639172,110,2.872328
-411.034301,86,2.885204
-90.139803,106,2.901348
-242.186627,126,2.920625
-185.734883,87,2.934053
-185.994821,98,2.964566
-329.924823,100,2.979648
-165.357348,116,2.99745
-234.078966,151,3.02027
-44.760385,83,3.033095
-307.98212,141,3.072398
-48.221148,73,3.083721
-91.578654,143,3.105628
-254.80222,92,3.119602
-116.089897,116,3.152829
-225.800735,89,3.166503
-186.504704,122,3.185038
-217.196563,100,3.200198
-53.320553,70,3.211259
-189.067196,103,3.242218
-104.132289,99,3.257366
-192.356476,127,3.276778
-1.037524,89,3.29044
-169.573524,88,3.303848
-299.552882,126,3.338604
-235.278456,142,3.361753
-193.802326,143,3.383627
-167.362331,134,3.40401
-68.267415,135,3.441092
-108.705068,139,3.462459
-53.74947,94,3.477016
-153.566936,118,3.494886
-376.311441,119,3.528664
-384.035795,161,3.553188
-143.942153,143,3.575307
-313.296778,137,3.59632
-141.516493,85,3.625072
-209.773552,159,3.649239
-403.674364,189,3.678888
-207.492227,112,3.695939
-204.345935,155,3.735654
-156.69974,117,3.753511
-268.716875,165,3.779223
-84.988249,74,3.790733
-284.545142,116,3.824339
-140.271991,114,3.842044
-153.181599,145,3.864179
-22.540551,190,3.908743
-85.513463,87,3.92219
-36.248101,74,3.933665
-126.362302,177,3.961125
-163.687072,93,3.975812
-92.564087,86,4.006151
-128.875421,161,4.030672
-399.871353,185,4.058927
-115.982873,72,4.070044
-210.596631,146,4.10767
-251.387337,83,4.12034
-308.642005,141,4.141966
-93.284389,162,4.16712
-131.320381,133,4.203838
-65.832373,72,4.214993
-18.760548,110,4.231867
-315.419646,204,4.263014
-124.328723,106,4.294725
-153.141119,115,4.312439
-67.225461,85,4.325524
-109.750578,87,4.338721
-221.201879,118,4.35689
-30.344236,140,4.393685
-210.556273,103,4.40942
-23.259082,139,4.430836
-152.285211,112,4.44806
-208.396371,85,4.476571
-98.855902,99,4.492118
-169.51374,138,4.513985
-126.327814,131,4.53436
-285.975486,94,4.548987
-377.518912,158,4.588884
-152.304657,162,4.613418
-54.878961,273,4.671004
-68.985994,124,4.689833
-125.801669,121,4.709141
-74.658642,175,4.736141
-107.743392,152,4.776848
-1.869206,201,4.807634
-283.174318,139,4.828681
-252.349787,123,4.864123
-211.67595,174,4.890996
-470.249603,167,4.91672
-260.979077,114,4.949895
-96.649497,157,4.973905
-58.972788,89,4.987668
-378.604684,156,5.011139
-264.924725,110,5.043221
-197.416288,108,5.060156
-274.876736,178,5.088393
-180.854897,125,5.107517
-251.457898,100,5.138884
-202.088719,131,5.158981
-242.673011,130,5.178828
-140.71723,225,5.212883
-249.184982,187,5.25693
-291.824967,193,5.2863
-450.639573,174,5.328653
-118.746153,126,5.348821
-66.786676,117,5.367155
-288.315191,101,5.382677
-11.81427,131,5.418451
-63.603948,137,5.439529
-253.635205,108,5.456192
-383.367408,178,5.483029
-384.863974,195,5.528394
-6.334055,91,5.542628
-240.524827,165,5.568888
-247.463929,110,5.58616
-258.63853,171,5.628873
-326.815927,135,5.649958
-207.697952,175,5.677133
-63.678822,91,5.706889
-4.519796,179,5.73431
-167.686995,138,5.755487
-494.815064,220,5.805411
-76.016072,121,5.823781
-198.77325,146,5.845842
-304.900438,208,5.892617
-47.212668,114,5.910361
31.848233,94,5.925112
5.921939,1000,6.117121
-167.795557,153,6.140679
-126.590519,149,6.163473
-244.227397,146,6.203041
-75.598233,71,6.214494
-106.577089,113,6.231856
-172.91633,113,6.24945
-46.677553,135,6.286259
-161.375799,148,6.309122
-203.967757,159,6.333905
-94.358241,108,6.350472
-103.256627,81,6.378311
-70.039171,100,6.393906
-154.566239,113,6.411609
-220.693664,104,6.427568
-60.408752,170,6.468948
-14.311791,130,6.488959
-46.132433,122,6.507665
-151.32567,178,6.534603
-231.95282,166,6.575208
-175.327034,82,6.587838
-107.465822,85,6.600786
-118.170477,91,6.6148
-81.908206,117,6.63339
-95.730239,124,6.668775
-208.905548,146,6.691317
-297.556637,198,6.721629
-8.3846,85,6.734654
-123.592099,86,6.763142
-105.672773,85,6.776415
-42.81366,90,6.790317
-99.777488,149,6.813542
-230.218631,129,6.849399
-65.115757,150,6.872356
-93.365785,91,6.886266
-47.968443,143,6.908406
-78.988699,136,6.945788
-151.599665,112,6.962791
-244.698539,150,6.985645
-116.244073,131,7.006139
-202.417171,142,7.044415
-84.251913,103,7.060257
-173.706364,186,7.088594
-229.306567,163,7.113467
-238.782757,121,7.147549
-48.5994,152,7.170642
-129.88545,124,7.189748
-150.424766,124,7.225633
-90.814337,147,7.247861
-35.000383,170,7.273566
-72.701227,96,7.28829
-297.660444,206,7.334662
-172.978957,119,7.35271
-55.708414,142,7.374406
-344.602127,134,7.395264
-52.029874,151,7.434592
-21.628896,123,7.453868
-323.908051,148,7.47697
-119.398043,148,7.515595
-93.402795,149,7.538298
-116.785357,143,7.560718
-111.346622,108,7.57727
-127.214417,129,7.613063
-99.98558,125,7.632348
1.785579,194,7.661779
-84.660888,120,7.680214
-243.453739,157,7.719883
-9.093336,127,7.739296
-192.728763,128,7.759298
-260.261146,213,7.80957
-270.502122,289,7.853698
-120.180896,187,7.900231
-296.362989,228,7.935761
-75.938405,187,7.96405
-150.161422,151,8.00412
-34.279799,115,8.021728
-94.459062,231,8.057659
-284.318714,213,8.107034
-284.484087,207,8.138766
-53.339709,187,8.182567
-305.348328,101,8.198413
-23.563454,172,8.224786
-336.12628,241,8.278023
-26.277605,221,8.31186
-257.730309,185,8.341331
-124.180134,208,8.388822
-8.681751,98,8.403806
-112.168053,156,8.428066
-259.937044,183,8.47122
-368.282868,254,8.509704
-31.660543,128,8.529092
-513.802453,307,8.591245
-374.857791,308,8.653838
-179.023677,161,8.678634
-125.86343,170,8.704884
-251.255291,227,8.754667
-170.098283,452,8.837974
-295.486533,264,8.878012
-182.758405,197,8.907864
-33.909974,131,8.943098
-66.013421,95,8.957827
-36.474258,147,8.980209
-93.641626,192,9.024864
-8.906821,81,9.037195
-53.581393,151,9.060294
-132.949849,184,9.088228
-26.809651,145,9.126781
-215.043133,248,9.164938
14.557006,205,9.212795
-37.371927,146,9.235472
-7.289977,212,9.267933
35.435961,119,9.286058
-54.88464,174,9.328047
-178.284537,186,9.356286
35.376419,1000,9.547505
19.724837,142,9.569608
23.708549,259,9.626219
-9.141557,212,9.658523
62.976239,1000,9.846781
-29.14162,140,9.884111
112.965246,1000,10.073928
37.687407,157,10.098191
-57.104413,128,10.117778
-2.568734,1000,10.308719
-33.048239,273,10.367545
-94.263422,199,10.399529
-13.656195,177,10.428077
10.201957,153,10.468781
-50.244919,172,10.496053
14.861091,219,10.529785
-39.451061,174,10.572311
-29.965118,211,10.604849
22.068675,173,10.631166
-38.11168,214,10.679315
-10.483645,243,10.716874
-7.072668,225,10.767488
-93.86606,206,10.799823
-44.126908,179,10.843127
-21.345722,167,10.868424
-8.941508,150,10.891386
-46.695433,236,10.942584
-47.103178,258,10.982432
63.421157,1000,11.177196
-4.983009,155,11.201557
-51.18359,201,11.250915
-3.933805,232,11.287394
-38.388302,267,11.34459
-108.375224,194,11.374997
35.929588,250,11.430855
-141.620831,213,11.464049
-119.144302,242,11.517499
-42.981556,208,11.549345
-266.867193,237,11.585265
91.776768,1000,11.772557
-61.32645,256,11.826521
-43.116265,347,11.893959
-132.914911,290,11.938348
89.273573,1000,12.12743
-131.769703,489,12.218162
-89.286503,414,12.296656
6.283291,171,12.323072
-62.381617,260,12.378033
71.234716,1000,12.568912
-196.222578,235,12.605332
-95.884801,370,12.676612
-208.372939,240,12.712713
-273.355337,345,12.782758
-132.821523,659,12.900264
121.310765,1000,13.092088
-46.034974,243,13.144835
-208.681067,503,13.236296
54.820441,1000,13.420338
