#{"t_start": 1765923328.0278919, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.024643
-119.873241,78,0.037231
-185.423307,64,0.047372
-378.535805,103,0.063432
-94.028087,74,0.074828
-134.417226,82,0.104409
-69.773732,69,0.115393
-74.9191,67,0.12593
-82.719534,73,0.137583
-472.871167,89,0.151871
-84.11878,90,0.165662
-138.799759,94,0.180116
-67.479222,74,0.208231
-72.039714,59,0.217847
-38.371426,96,0.233029
-74.882329,133,0.253679
-206.728531,109,0.270822
-262.696878,93,0.304153
-496.44322,101,0.321457
-136.709613,78,0.334901
-116.439629,62,0.346336
-215.907887,78,0.359364
-68.074596,86,0.37439
-58.015931,83,0.407228
-133.916526,75,0.420463
-86.581823,74,0.433607
-269.49065,125,0.453201
-120.577891,107,0.470382
-59.456204,70,0.482041
-30.304724,98,0.516472
-167.841433,98,0.532941
-108.186052,62,0.543933
-155.182843,116,0.564065
-241.87633,78,0.577922
-276.835065,93,0.593832
-299.182855,105,0.630257
-312.41357,96,0.646457
-25.307799,84,0.660034
-114.908226,87,0.674667
-196.001174,97,0.691469
-139.85163,83,0.723035
-66.111505,78,0.736691
-118.88203,101,0.753448
-107.950109,111,0.77202
-226.147077,92,0.787747
-135.869903,63,0.798723
-146.916574,131,0.838062
-326.111321,93,0.852506
-76.831589,104,0.868647
-81.656772,75,0.880618
-164.573923,74,0.892199
-111.944919,84,0.921319
-129.471482,122,0.940119
-480.93628,120,0.958448
-201.19826,124,0.977107
-291.426461,95,0.991858
-317.520697,100,1.022634
-95.497573,68,1.033394
-123.942138,112,1.050522
-429.286306,114,1.069477
-231.333274,76,1.082453
-239.682579,113,1.11698
-422.095895,103,1.133921
-120.370476,112,1.151523
-111.21823,78,1.163556
-130.258345,73,1.174854
-69.845736,105,1.191227
-341.950979,99,1.222285
-101.719647,114,1.240641
-101.667819,109,1.258267
-116.271746,75,1.270679
-272.017468,105,1.287308
-114.52115,109,1.364149
-125.917974,96,1.386836
-288.791994,132,1.408428
-248.296992,102,1.424911
-121.544505,59,1.434695
-116.394571,134,1.471107
-1.458598,134,1.491553
-185.734823,73,1.502952
-127.347066,74,1.514346
-294.394916,101,1.529908
-289.495722,131,1.565519
-200.778655,100,1.580708
-183.032587,133,1.601116
-32.70139,69,1.61167
-260.500298,136,1.647266
-125.129767,120,1.665718
-107.467887,96,1.680391
-140.239366,66,1.690763
-68.865194,76,1.702377
-290.18147,81,1.714828
24.858306,143,1.752293
-121.399173,93,1.766506
-150.734475,103,1.782063
-137.724862,91,1.795926
-155.071961,104,1.811734
-216.191049,124,1.845561
-105.65962,112,1.862532
-178.909496,89,1.876078
-15.546036,108,1.892789
-82.511806,80,1.904954
-119.837036,90,1.933521
-181.859665,82,1.946025
-100.804148,93,1.960153
-206.270434,88,1.973832
-216.446477,118,1.991903
-68.102612,69,2.018114
-113.458544,65,2.028211
-97.753429,123,2.047127
-88.737896,133,2.067554
-170.560189,138,2.089156
-182.034963,99,2.122046
-153.009764,132,2.14381
-85.816876,89,2.157982
-104.897715,93,2.173211
-237.639585,131,2.19385
-51.02636,63,2.220033
-83.006873,83,2.232718
-162.666537,106,2.248819
-156.923466,111,2.265579
-175.251361,71,2.276806
-158.902225,140,2.314047
-41.512464,170,2.340345
-256.78938,112,2.357667
-81.597506,92,2.372147
-139.948673,158,2.411504
-278.481027,78,2.423985
-84.889686,79,2.436259
-108.796682,108,2.45287
-194.720054,139,2.474405
-210.198215,73,2.501098
-121.09068,133,2.521389
-201.488093,92,2.535696
-322.25551,135,2.556003
-153.915614,87,2.569346
-103.856869,95,2.598994
-127.833995,86,2.613322
-388.088802,116,2.6314
-113.641873,86,2.644577
-79.381108,136,2.665435
-339.97741,124,2.699607
-354.185693,89,2.713507
-158.990149,114,2.731279
-116.354984,81,2.743872
-6.309786,167,2.785428
-83.04596,92,2.799434
-124.978962,116,2.817144
-109.062696,94,2.831664
-123.94619,89,2.845419
-157.880062,114,2.879115
-333.334986,142,2.900833
-51.665477,126,2.920287
-351.708616,143,2.943368
-179.438159,126,2.979961
-259.15886,91,2.99425
-95.219791,76,3.005773
-144.280891,109,3.022442
-65.570839,139,3.04325
-22.078686,127,3.078172
-84.065914,158,3.102293
-215.485337,90,3.116016
-148.26312,138,3.136953
-110.993461,76,3.164259
-3.756576,75,3.176745
-71.372158,171,3.204536
-84.661885,77,3.21725
-62.854291,79,3.229593
-187.080201,72,3.241319
-127.485163,126,3.280367
-15.478738,107,3.297941
-48.177038,127,3.318575
-234.137151,88,3.332433
-125.723535,104,3.364121
-214.207448,125,3.383436
-84.069157,88,3.39673
-122.894114,79,3.40883
-62.357941,108,3.425302
-273.127951,95,3.454548
-61.738696,101,3.469782
-298.290024,110,3.486704
-298.43224,121,3.505323
-72.268277,103,3.520966
-77.622526,75,3.547762
-252.671277,87,3.561132
-248.888729,91,3.575188
6.762237,180,3.602875
-110.688975,148,3.643044
-115.729617,135,3.663812
-77.276685,80,3.676798
-85.336037,162,3.702556
23.110397,116,3.720307
-83.778118,94,3.750515
-101.585241,84,3.763406
-90.369793,140,3.784792
-94.763235,101,3.800106
-177.356334,137,3.836267
-239.797384,101,3.851724
-172.217247,71,3.86258
-238.191803,197,3.892265
-100.628122,81,3.904833
-192.549709,126,3.939109
-140.627375,74,3.95047
-212.252164,76,3.962144
-149.284326,121,3.980433
-362.762221,139,4.0018
-199.140609,104,4.033515
-57.484248,115,4.051304
-47.918123,101,4.066949
-313.118914,153,4.090213
-188.611344,89,4.119069
17.873151,1000,4.351123
-88.444775,79,4.366251
-255.097419,120,4.39879
-131.395405,176,4.463846
-208.11596,149,4.52934
-143.175813,228,4.567869
-111.010643,104,4.586106
-427.823136,234,4.668762
-65.833882,160,4.693444
-65.808457,76,4.705418
-267.089976,151,4.728928
-602.760529,209,4.777927
-126.300902,145,4.801294
-130.539726,102,4.820948
-509.930228,171,4.870005
-82.071368,75,4.883489
-164.248084,172,4.912889
-145.73756,147,4.936691
-288.617278,184,4.984066
-99.296527,82,4.996881
-66.199659,89,5.010479
-60.479798,88,5.024197
-51.099379,68,5.034829
-132.997281,121,5.068866
-131.07018,75,5.080328
-164.680265,114,5.097878
-106.427323,90,5.111667
-263.475968,172,5.154025
-263.491194,194,5.184089
-87.870287,76,5.196064
-130.282787,135,5.219523
-135.513183,168,5.265019
-103.082253,65,5.275715
-79.038324,87,5.290159
-219.195739,123,5.309996
-104.204703,106,5.326695
-256.176147,137,5.371697
-46.440427,99,5.388339
-88.75488,68,5.398956
-104.061835,160,5.42408
-310.150619,209,5.474679
-51.506771,95,5.489779
-268.326023,115,5.508085
-308.317065,193,5.537294
-86.685281,116,5.57203
-322.722544,98,5.587174
-77.513726,84,5.600146
-232.743352,116,5.61842
-79.566364,116,5.654268
-111.634901,114,5.672684
-199.935097,121,5.691469
-97.857264,107,5.707943
-523.936321,223,5.757365
-65.633084,108,5.773948
-117.489305,212,5.806174
-81.258427,161,5.846536
-323.822008,144,5.868386
-172.391711,130,5.888424
-161.816314,97,5.903386
-147.912956,83,5.916073
-42.046879,100,5.946744
-142.928615,139,5.968019
-36.193181,81,5.980828
-163.354565,126,6.001286
-132.027997,143,6.038853
-73.217851,86,6.052062
-67.029047,86,6.065154
-338.414773,125,6.084058
-66.702906,158,6.123077
-64.117056,97,6.138006
-39.947599,68,6.148749
-92.521096,81,6.161021
-51.772367,78,6.172962
-27.552426,105,6.189051
-222.47608,105,6.220532
-224.878469,179,6.248331
-73.464968,137,6.269241
-39.048837,76,6.280952
-119.128374,208,6.327787
-91.429946,302,6.373286
-82.210358,80,6.385608
-68.563038,114,6.417808
-64.89323,111,6.434518
-99.920216,145,6.456324
-275.715199,206,6.502775
-80.735926,214,6.535151
-102.35167,162,6.559486
-320.83545,155,6.597994
-274.118994,131,6.618778
-34.660856,157,6.642519
-36.067741,137,6.663231
-242.351747,193,6.708419
18.315195,111,6.725473
-74.834118,118,6.743353
-28.08285,102,6.758901
-313.044119,202,6.804316
-191.633682,145,6.826266
-119.654037,134,6.846545
13.946322,155,6.885062
-57.360128,210,6.916729
-76.009028,206,6.962587
-275.226693,200,6.992765
-135.236011,193,7.021972
-190.863768,217,7.069583
-28.538282,186,7.097552
-86.582562,157,7.12138
-147.996822,138,7.157545
-219.8932,94,7.172025
-228.726337,212,7.203849
-6.727905,186,7.246969
-349.090061,347,7.29852
-102.925242,151,7.336419
-246.83308,240,7.372949
-16.461641,143,7.394652
-36.39909,206,7.440729
-162.528161,184,7.468905
-173.7184,145,7.490918
-51.734632,135,7.526512
-74.002503,231,7.561465
-193.98445,182,7.588967
-118.514809,131,7.623815
-25.017001,200,7.654184
-199.337293,193,7.683351
-92.834098,278,7.739878
-188.982751,165,7.764901
-219.135063,233,7.815212
-355.417676,200,7.845735
-350.697034,233,7.89573
-23.549963,166,7.921028
-8.440886,171,7.946577
-199.108998,169,7.987344
-350.988193,207,8.018346
-140.66763,125,8.037325
-311.032481,249,8.089874
-43.508004,212,8.121821
-367.941834,196,8.168292
-174.744297,188,8.197945
-209.117528,177,8.224886
-158.554688,208,8.272574
-231.663356,254,8.311151
-6.086814,111,8.328211
-38.468504,180,8.370263
-278.794342,178,8.397242
29.912055,129,8.416825
-118.87701,141,8.453266
-93.08397,122,8.471896
-281.829483,169,8.499156
-273.349578,286,8.558535
-7.304438,116,8.576809
-288.656915,146,8.598921
-121.408883,119,8.617169
-155.302336,197,8.662192
-85.829074,269,8.703239
-261.819422,314,8.765344
-28.115542,158,8.789411
-219.366805,154,8.82816
-272.260226,227,8.862404
-195.128558,180,8.88982
-56.677347,196,8.934786
-117.299554,339,8.985402
-250.113617,151,9.023815
-299.331703,261,9.063175
-40.523644,324,9.127312
-32.446367,190,9.156229
-33.90411,197,9.201242
-18.882779,201,9.231781
-89.101067,287,9.290126
-142.193407,335,9.340634
-15.212923,149,9.378414
-192.875941,180,9.40608
6.575382,217,9.438792
22.827727,151,9.476552
-239.785829,220,9.510171
-248.992925,173,9.536591
16.818398,216,9.584629
-318.932117,189,9.613548
-157.861266,210,9.660262
-54.730159,263,9.699815
-58.884875,403,9.775259
-91.666319,201,9.80585
-57.260976,370,9.87657
-235.663442,247,9.928627
-152.286706,168,9.9544
-72.738781,239,9.990806
-81.80693,318,10.055433
-61.891722,271,10.097354
-250.347016,171,10.139024
-17.562811,205,10.170222
50.504892,226,10.222196
-65.95239,223,10.256524
-28.136695,217,10.290381
-219.739264,270,10.349037
-389.311415,195,10.379012
-234.024163,230,10.430085
-181.711563,302,10.476272
-6.307588,144,10.51469
-21.380877,196,10.544917
-268.093601,185,10.573176
-119.596444,206,10.622223
-191.317379,172,10.648892
-72.98007,264,10.70759
-231.864688,347,10.761742
-255.772328,250,10.816316
-220.343591,243,10.853066
-102.150329,268,10.912585
-126.384507,400,10.989726
-94.212704,314,11.037453
16.3676,187,11.080687
