#{"t_start": 1765923156.56161, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.024252
-119.873241,78,0.036137
-185.423307,64,0.045876
-378.535805,103,0.061605
-94.028087,74,0.072967
-134.417226,82,0.101093
-69.773732,69,0.111557
-74.9191,67,0.121988
-82.719534,73,0.133059
-472.871167,89,0.146985
-84.11878,90,0.16076
-138.799759,94,0.17516
-67.479222,74,0.201772
-72.039714,59,0.21143
-38.371426,96,0.226528
-75.198282,133,0.246741
-206.728531,109,0.263665
-262.696878,93,0.293709
-496.44322,101,0.309212
-136.709613,78,0.321247
-116.439629,62,0.330601
-215.907887,78,0.342477
-68.074596,86,0.35583
-58.015931,83,0.384551
-133.916526,75,0.398009
-99.21807,74,0.409391
-269.49065,125,0.428088
-120.577891,107,0.44428
-59.456204,70,0.455022
-30.304724,98,0.485299
-187.941828,98,0.500369
-108.186052,62,0.509933
-155.182843,116,0.527599
-208.315445,81,0.540221
-204.200809,113,0.572629
-138.5625,109,0.589525
-288.235311,77,0.601695
-183.275893,85,0.614568
-83.00671,119,0.632711
-187.08326,78,0.644464
-124.531948,103,0.675242
-130.422542,79,0.68746
-156.741064,88,0.700798
-108.234466,78,0.712655
-356.463624,101,0.728144
-154.014734,76,0.739737
-72.5856,70,0.765822
-427.091022,97,0.780669
-163.092802,68,0.7912
-299.387513,119,0.809448
-204.980553,116,0.827127
-83.561325,76,0.854101
-143.575565,129,0.873855
-339.514609,99,0.889185
-136.270824,96,0.903807
-237.927515,93,0.918134
-110.417276,87,0.946551
-243.346164,120,0.965163
-161.306911,63,0.97508
-113.015282,98,0.990102
-327.877907,89,1.003708
-178.27851,79,1.015888
-406.064016,106,1.047182
-268.319288,112,1.064366
-129.851183,98,1.079444
-87.09628,65,1.089519
-70.790454,59,1.098597
-104.164701,70,1.10944
-193.908793,104,1.140442
-193.636382,123,1.159256
-64.594969,103,1.175017
-95.44487,76,1.186909
-61.185688,75,1.198328
-282.094067,129,1.234636
-125.631739,79,1.249066
-157.124162,119,1.270174
-125.631658,88,1.285105
-250.094325,102,1.301604
-105.899106,68,1.312375
-51.47986,124,1.391219
-229.914284,117,1.409251
-103.638169,63,1.419117
-146.33271,119,1.437075
44.767965,95,1.451657
-98.153949,128,1.487177
-132.640673,114,1.504695
-152.452072,127,1.524266
-152.279585,137,1.545292
-82.777023,83,1.573413
-123.138367,98,1.588588
-101.451943,80,1.600825
-68.204059,101,1.616292
-131.797943,93,1.630346
-159.08963,104,1.661228
-267.051996,136,1.682207
-153.833016,120,1.700484
-126.692251,91,1.714306
-61.884541,95,1.729001
-108.541872,125,1.762897
-127.758263,109,1.77973
-207.276957,124,1.798711
-228.794929,82,1.811241
-107.130342,84,1.824202
-141.700563,85,1.852295
-334.279248,95,1.866944
-136.807663,89,1.880535
-178.469171,80,1.892882
-48.759391,137,1.913769
-50.442702,67,1.93921
-174.320082,76,1.951021
-133.319601,119,1.969212
-129.693659,125,1.988263
-184.984529,107,2.004501
-383.06658,154,2.042762
-44.569503,125,2.062144
-154.234475,135,2.082561
-303.648218,157,2.106315
-105.860491,64,2.131058
-95.133795,105,2.147177
-80.139545,73,2.158332
-121.062222,97,2.173263
-259.216127,115,2.190804
-94.31203,135,2.226321
-139.283035,122,2.245004
-57.740922,75,2.256597
-113.718465,128,2.27605
-118.486126,139,2.311894
-213.494983,122,2.330282
-96.923389,85,2.34313
-122.887088,83,2.355713
-61.151749,89,2.36924
-124.184323,116,2.386789
-294.413811,92,2.415388
-62.359227,64,2.425178
-120.293298,108,2.44138
-128.533438,107,2.457589
-131.270181,105,2.47368
-104.87015,72,2.499643
-182.377173,75,2.511356
-89.248355,104,2.527325
-171.585335,110,2.543871
-62.547458,97,2.558597
-222.581531,114,2.590881
-198.121497,108,2.607374
-436.390039,117,2.625066
-247.619147,164,2.649723
-306.016201,150,2.687494
-118.076237,73,2.698664
-66.421916,106,2.714629
-115.82506,81,2.726969
-61.723463,80,2.739142
-197.220446,101,2.754539
-82.65341,72,2.780666
-79.623927,126,2.800486
-177.215985,116,2.818269
-117.401829,71,2.829187
-31.056853,99,2.844547
-203.778263,133,2.879679
-14.654478,127,2.898907
-156.531391,107,2.915265
-119.632178,113,2.932212
-98.200441,80,2.944366
-89.495219,100,2.974729
-73.876958,67,2.985049
-147.074885,101,3.000321
-78.826498,64,3.010135
-85.670935,120,3.028577
-136.771763,103,3.059089
-281.330628,136,3.079402
-103.509753,96,3.093834
-92.94248,75,3.105382
-241.913106,137,3.126053
-110.181563,118,3.158934
-108.980831,110,3.175559
-109.940232,167,3.201043
-70.491938,86,3.21412
-356.648009,110,3.245954
-83.192231,95,3.260366
-86.275658,73,3.27162
-242.856928,100,3.28674
-129.985711,108,3.303309
-69.848582,77,3.315042
-131.381527,126,3.349242
-131.308901,81,3.361827
-41.001895,80,3.374179
-54.602046,123,3.392777
-124.326884,158,3.431414
-286.676497,131,3.451073
-84.544383,121,3.469314
-228.446681,130,3.488878
-19.958178,84,3.516252
-66.998134,118,3.534096
-35.7389,131,3.553919
-293.305455,150,3.576327
-139.891858,166,3.616228
-189.718071,97,3.630813
-34.600681,169,3.656063
-53.724352,116,3.673404
-102.016894,93,3.702506
-254.368048,131,3.722614
-344.039248,145,3.744517
-15.664607,113,3.761951
53.891168,1000,3.950807
-73.641679,136,3.987039
-320.391947,137,4.008208
-219.209841,119,4.026956
-275.824708,139,4.048505
-374.302555,221,4.097911
-107.817888,149,4.120655
-310.16491,213,4.153483
-88.99611,173,4.19468
-214.519618,112,4.212188
-183.412327,79,4.224474
-95.624679,96,4.239244
-132.360217,125,4.273202
-78.512087,108,4.289736
-362.885039,157,4.313678
-306.955225,152,4.337063
-454.333085,141,4.374893
-133.788026,131,4.395047
-126.87275,164,4.420108
-148.822635,122,4.438566
-17.280963,157,4.477868
-348.143047,258,4.5172
-116.436732,124,4.551133
-118.666699,153,4.574387
-76.816133,127,4.593668
-225.408691,147,4.615978
-334.511708,250,4.668519
-199.736227,154,4.691684
-154.991276,140,4.71273
-187.028951,144,4.749217
-195.660598,111,4.766507
-363.386219,180,4.793515
-176.332764,179,4.835815
-196.507499,116,4.855009
-17.556845,102,4.871269
-217.539565,399,4.949017
-115.392346,168,4.975409
-102.970557,96,4.990649
-264.415752,159,5.031482
-124.137514,154,5.055367
-76.845068,133,5.075978
-210.704746,158,5.115351
-90.753976,74,5.126906
-234.022888,198,5.156919
-73.462256,83,5.169653
-103.399086,267,5.225266
-83.545012,135,5.245742
-51.469483,109,5.262637
-58.079074,160,5.302194
-77.390022,116,5.319899
-19.661649,139,5.341147
-45.68073,122,5.359752
-43.142532,143,5.396383
-630.121434,369,5.452207
-117.251575,196,5.496729
-320.260285,164,5.521487
-247.995363,258,5.561148
-17.220222,200,5.607727
-207.703861,369,5.680539
6.867874,112,5.6977
-426.820847,521,5.7909
-18.961485,140,5.812501
11.330427,142,5.8341
-18.205058,151,5.87216
-273.631614,344,5.923856
-1.890395,200,5.969026
70.581274,1000,6.15719
-258.62125,350,6.209469
2.187354,237,6.2602
-311.194611,492,6.348402
39.372939,137,6.369071
102.055049,1000,6.55737
-40.417754,281,6.618269
-29.489381,93,6.632984
-19.531479,219,6.666979
-50.741114,236,6.718564
33.266956,146,6.740645
-54.133894,343,6.807975
-55.6455,251,6.845954
-45.99367,188,6.874614
17.163608,281,6.932156
56.616034,159,6.956333
15.269055,197,7.001158
49.908946,162,7.026009
-33.70293,244,7.062748
117.674425,1000,7.247622
-258.952425,186,7.290736
-141.86162,282,7.333721
-0.988142,315,7.395872
18.342455,186,7.423956
-293.835928,208,7.469921
-15.802388,426,7.548887
-51.963779,318,7.596977
-106.376972,292,7.6563
-91.078292,308,7.702399
17.471767,328,7.766592
-214.935814,312,7.829574
-10.059889,209,7.861111
-212.702467,314,7.924057
-39.156438,379,7.980696
-38.320734,330,8.045169
-1.081384,206,8.076212
51.594626,1000,8.262429
60.408952,1000,8.44601
51.99099,1000,8.631242
4.551236,221,8.679716
-61.501906,513,8.771835
-92.648648,394,8.830784
-15.052259,204,8.876717
75.441575,1000,9.06048
-34.267082,178,9.087356
-35.620228,261,9.141055
-179.307313,478,9.227742
46.504543,1000,9.413794
-28.751144,360,9.46764
-254.152989,623,9.576782
-76.117766,395,9.651806
42.598434,1000,9.835975
-53.609739,364,9.905325
-4.533598,1000,10.090201
-87.79086,395,10.16417
62.756381,1000,10.347269
89.326452,1000,10.529266
52.156668,212,10.56145
-22.335824,308,10.622785
-12.602442,238,10.658766
-72.090825,281,10.716085
79.567249,189,10.744707
36.94028,282,10.787067
99.444294,1000,10.971328
134.005069,933,11.144096
-160.611414,757,11.287089
-103.712505,1000,11.474141
-285.057155,554,11.574952
34.50122,1000,11.762142
7.321791,414,11.8393
-68.727934,1000,12.023457
-157.860578,1000,12.194709
-82.30812,1000,12.374647
-19.082376,1000,12.554288
