#{"t_start": 1765922949.899054, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.026861
-119.873241,78,0.039082
-185.423307,64,0.048955
-378.535805,103,0.064769
-94.028087,74,0.0761
-134.417226,82,0.104766
-69.773732,69,0.115646
-74.9191,67,0.126061
-82.719534,73,0.137307
-472.871167,89,0.151249
-69.782098,91,0.165427
-129.238083,77,0.177222
-215.010343,85,0.205502
-169.899078,82,0.219053
-170.84529,67,0.229657
-212.413062,71,0.240622
-306.966402,88,0.254347
-192.199863,63,0.264357
-208.244435,112,0.297388
-398.001375,105,0.313575
-104.133529,79,0.32574
-107.862617,73,0.337061
-108.75693,83,0.35002
-102.239739,90,0.363949
-102.503432,54,0.372372
-130.515551,77,0.399562
-142.475888,63,0.409312
-63.877798,61,0.41876
-161.011353,130,0.438789
-98.262806,77,0.450667
-397.68412,89,0.464512
-86.323896,61,0.489378
-389.426327,124,0.508197
-145.78792,68,0.518742
-106.668984,77,0.530716
-195.935053,110,0.547695
-92.731249,69,0.558319
-183.581972,103,0.589314
-73.318013,141,0.610773
-102.309763,75,0.622395
-348.5506,103,0.638248
-127.068309,116,0.67075
-95.569027,84,0.683982
-106.45477,116,0.701594
-292.276252,102,0.717245
-362.150387,106,0.733645
-122.12852,105,0.764701
-205.071848,96,0.779323
-62.073794,85,0.792534
-94.293132,97,0.807321
-119.09366,114,0.825268
-143.199953,53,0.834123
-363.061645,105,0.869698
-110.712314,136,0.89217
-92.293625,69,0.903814
-97.417479,123,0.923998
-354.98782,108,0.94141
-366.073,74,0.972714
-106.140417,71,0.984694
-0.003991,71,0.996587
-135.983085,110,1.013409
-118.251302,67,1.024022
-519.136045,90,1.037975
-135.657139,99,1.068878
-359.059039,99,1.083985
-105.775066,125,1.102909
-74.118194,61,1.11243
-259.614317,72,1.123674
-110.77105,109,1.140377
-258.205936,123,1.174726
-100.453184,76,1.186567
-127.272874,131,1.206177
-99.6118,73,1.217378
-93.946554,121,1.282732
-55.349877,58,1.292702
-103.353089,109,1.310874
-308.417027,83,1.324383
-115.071059,96,1.339639
-349.321636,92,1.385477
-234.130816,111,1.422022
-133.967901,85,1.435086
-101.940706,66,1.445269
-283.104893,78,1.457548
-110.203091,84,1.470644
-116.907471,74,1.482144
-259.785431,94,1.511847
-126.122156,80,1.524312
-67.230827,138,1.545379
-213.732073,92,1.559687
-144.726401,105,1.575827
-178.270932,117,1.608404
-111.153047,130,1.628188
-87.189106,109,1.644831
-134.190896,112,1.6618
-386.63511,101,1.677568
-98.372493,90,1.706552
-70.34228,116,1.724309
-106.45528,77,1.736315
-111.670188,90,1.750204
-118.061395,110,1.767066
-41.644772,134,1.802414
-163.577551,107,1.818807
-150.630765,117,1.836663
-170.94565,111,1.853716
-79.69402,74,1.865083
-293.640567,108,1.896527
-107.202777,103,1.912095
-187.892532,109,1.92855
-106.125617,83,1.941377
-83.735972,62,1.951113
-97.196299,109,1.982904
-237.538398,97,1.997743
-65.265828,62,2.007226
-156.500711,157,2.031161
-133.338138,95,2.0457
-162.405443,119,2.078965
-141.427454,79,2.091132
-139.383463,93,2.105106
-108.452027,93,2.119531
-275.860111,84,2.132483
-148.654361,72,2.143503
-80.01288,100,2.173616
-120.86781,106,2.189811
-331.560897,109,2.206285
-113.009752,65,2.216352
-98.033928,86,2.229506
-141.897223,136,2.265193
-186.849426,126,2.284253
-104.97208,92,2.298278
-194.669824,110,2.314725
-96.782421,92,2.328525
-76.535376,66,2.353434
-31.678072,115,2.370782
-151.45756,123,2.389565
-129.736789,144,2.411304
-62.70717,116,2.443701
-149.954691,84,2.456713
-143.933958,113,2.473963
-62.820048,140,2.49511
-239.564901,113,2.512426
-52.768497,75,2.53899
-25.658021,70,2.549844
-204.20581,86,2.562947
-429.255869,119,2.580887
-274.111716,89,2.5946
-110.043754,154,2.63256
-164.764924,111,2.649252
-122.641217,84,2.6619
-90.753746,161,2.686124
-250.011,108,2.702447
-316.6436,196,2.74645
-253.005277,93,2.760436
-72.439284,59,2.769801
-71.930068,102,2.78546
-117.107668,106,2.816322
-103.195298,134,2.8367
-245.274684,83,2.849413
-91.089154,97,2.864345
-55.96722,106,2.880415
-70.489286,107,2.911416
-3.139873,139,2.932619
-76.512455,139,2.953805
-148.780444,140,2.975153
-144.149302,166,3.01554
-9.828362,108,3.032133
-354.519714,139,3.053273
