#{"t_start": 1765923211.939379, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.025362
-119.873241,78,0.037339
-185.423307,64,0.047226
-378.535805,103,0.062912
-94.028087,74,0.074187
-134.417226,82,0.102711
-69.773732,69,0.113407
-74.9191,67,0.123624
-78.71066,73,0.134622
-472.871167,89,0.148428
-84.11878,90,0.162025
-138.799759,94,0.176108
-67.479222,74,0.20302
-72.039714,59,0.212715
-38.371426,96,0.22775
-74.882329,133,0.248142
-206.728531,109,0.264905
-262.696878,93,0.295601
-496.44322,101,0.31111
-124.337568,81,0.323402
-241.24027,99,0.338277
-71.806447,124,0.356755
-35.825416,81,0.384178
-385.758246,122,0.402707
-216.506876,101,0.417718
-113.923634,72,0.428732
-85.038398,64,0.438472
-157.366265,78,0.450257
-121.3813,65,0.475419
-318.953486,104,0.491341
-92.073592,73,0.50238
-118.000257,71,0.51318
-163.827207,97,0.527825
-316.312654,91,0.541621
-111.886401,80,0.568601
-88.515206,71,0.579379
-302.361534,120,0.597328
-88.807372,117,0.615447
-144.879147,65,0.625685
-309.817661,121,0.644228
-86.78359,98,0.674417
-68.119067,107,0.690592
-85.041478,77,0.702268
-182.587573,115,0.719593
-32.86137,80,0.731742
-303.657444,114,0.76395
-322.622977,112,0.781117
-106.533144,107,0.79729
-73.371584,97,0.811915
-106.046187,58,0.820917
-221.01553,113,0.852819
-251.42583,101,0.867931
-362.745526,124,0.886694
-177.210082,105,0.902376
-62.057696,75,0.913754
-99.918997,66,0.923659
-150.71954,105,0.954089
-120.809335,63,0.963712
-144.931408,88,0.977008
-296.266521,100,0.991987
-116.910744,81,1.004196
-83.501051,93,1.033243
-90.786803,85,1.046167
-125.581799,70,1.056974
-265.19469,86,1.07008
-89.065111,63,1.079813
-328.42887,97,1.094405
-157.906099,70,1.10526
-338.732201,73,1.131977
-213.106967,92,1.146175
-128.189031,131,1.165876
-150.587344,91,1.17976
-231.493562,110,1.196697
-168.40041,117,1.229756
-193.410742,107,1.245933
-316.969733,79,1.258036
-234.023838,97,1.272561
-70.307581,78,1.284346
-100.096008,59,1.293257
-74.762024,76,1.319422
-176.775849,79,1.331497
-80.849833,72,1.342394
-191.57142,72,1.353392
-132.506914,117,1.370901
-204.1216,77,1.382624
-116.90124,89,1.411097
-108.780146,76,1.422559
-69.957018,62,1.431925
-321.92503,138,1.452346
-15.645366,95,1.466602
-88.124535,117,1.498836
