#{"t_start": 1765922968.396698, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.022423
-119.873241,78,0.034819
-185.423307,64,0.044793
-378.535805,103,0.061021
-94.028087,74,0.073022
-134.417226,82,0.102263
-69.773732,69,0.113389
-74.9191,67,0.124182
-78.71066,73,0.135884
-472.871167,89,0.150104
-69.782098,91,0.164322
-129.238083,77,0.176361
-228.553395,85,0.206334
-169.899078,82,0.219346
-170.84529,67,0.229836
-212.413062,71,0.240892
-302.644687,88,0.254871
-192.199863,63,0.264739
-211.266331,112,0.297638
-398.001375,105,0.314126
-104.133529,79,0.326565
-107.862617,73,0.338142
-108.75693,83,0.351138
-102.239739,90,0.364953
-102.503432,54,0.373729
-124.91055,77,0.401411
-310.3878,83,0.414361
-70.293166,157,0.438841
-133.817145,113,0.456888
-463.438673,98,0.488473
-407.460474,74,0.500157
-466.327409,126,0.519912
-74.760648,62,0.529589
-122.653348,101,0.545276
-66.385661,69,0.556353
-47.457554,71,0.582878
-112.207541,82,0.595685
-356.265566,121,0.614732
-169.20499,80,0.627392
-88.967651,79,0.639928
-51.134462,74,0.651922
-97.651903,71,0.663073
-131.517557,113,0.696715
-119.163315,123,0.715661
-50.006401,129,0.735762
-47.504482,108,0.752281
-190.02376,88,0.781266
-249.496204,120,0.799709
-106.272674,113,0.817257
-79.425124,67,0.827622
-188.797839,73,0.839052
-109.139514,109,0.871405
-142.198305,115,0.889231
-412.938505,88,0.902692
-166.506219,79,0.915142
-79.954956,115,0.940885
-239.77293,109,0.982004
-109.947659,82,0.995861
-102.316752,111,1.014606
-86.718874,85,1.035721
-106.792595,64,1.060059
-438.779533,98,1.141657
-439.983992,105,1.18486
-104.156851,69,1.197977
-104.893019,74,1.248777
-131.78783,85,1.325668
-159.314622,76,1.34762
-144.574934,100,1.372068
-254.127215,98,1.41138
-125.180388,98,1.4298
-91.2177,77,1.446455
-153.065385,99,1.487985
-115.980948,104,1.518035
-100.223816,128,1.585232
-71.352085,68,1.596463
-259.504378,91,1.61647
-136.617121,83,1.630043
-68.790738,76,1.642903
-157.178974,76,1.656403
-272.898501,77,1.668785
-300.858934,135,1.705868
-112.598404,95,1.720439
-105.806852,64,1.730307
6.088691,131,1.750549
-134.652915,107,1.782231
