#{"t_start": 1765923290.027487, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.0282
-119.873241,78,0.042657
-185.423307,64,0.053805
-378.535805,103,0.072289
-94.028087,74,0.085091
-134.417226,82,0.119577
-69.773732,69,0.131527
-74.9191,67,0.142977
-82.719534,73,0.155984
-472.871167,89,0.171553
-84.11878,90,0.186927
-138.799759,94,0.203922
-67.479222,74,0.241308
-72.039714,59,0.25234
-38.371426,96,0.26858
-75.198282,133,0.289612
-206.728531,109,0.306871
-262.696878,93,0.338677
-496.44322,101,0.35442
-136.709613,78,0.366665
-116.439629,62,0.376369
-215.907887,78,0.389031
-68.074596,86,0.402557
-58.015931,83,0.433532
-133.916526,75,0.44604
-99.21807,74,0.458024
-269.49065,125,0.479192
-120.577891,107,0.496602
-59.456204,70,0.50832
-30.304724,98,0.542833
-187.941828,98,0.559408
-108.186052,62,0.570087
-202.996065,115,0.590565
-174.137637,137,0.613999
-193.918936,73,0.64267
-185.530918,114,0.660329
-148.10292,65,0.670684
-186.286192,93,0.685054
-111.904519,85,0.698104
-393.019256,85,0.711242
-128.238524,73,0.738509
-143.740267,119,0.756834
-98.432499,73,0.768258
-159.262412,70,0.778965
-238.647351,83,0.791785
-150.629863,80,0.803987
-81.113753,127,0.839131
-206.173749,82,0.852006
-324.927807,97,0.866914
-67.454746,121,0.885553
-198.061592,69,0.896205
-111.944919,84,0.924787
-134.440295,124,0.944093
-421.539241,106,0.960475
-91.437359,121,0.979185
-93.799192,142,1.000887
-283.566068,67,1.026909
-134.104165,89,1.040777
-179.12169,101,1.056336
-170.638083,83,1.069185
-77.487324,76,1.080834
-85.127844,97,1.095783
-152.288813,137,1.131817
-138.621072,92,1.146141
-163.296366,119,1.164375
-87.91661,86,1.177448
-348.644228,121,1.210901
-189.903428,77,1.22342
-262.100548,95,1.239368
-121.71107,102,1.25667
-197.574684,84,1.270463
-280.070458,114,1.289908
-111.422773,98,1.325157
-112.256717,100,1.402138
-137.611722,87,1.417559
-10.86577,79,1.431517
-89.719732,87,1.446844
-169.898859,69,1.459318
-235.409796,95,1.491558
-87.406278,135,1.512435
-225.564255,72,1.523651
-388.908145,122,1.542279
-73.064757,70,1.553127
-58.227157,72,1.579925
-230.581722,100,1.595371
-152.01223,132,1.615647
-248.611167,102,1.631088
-64.594073,85,1.64429
-117.242625,130,1.679919
-203.438744,82,1.692768
-0.644713,119,1.711096
-74.30651,171,1.737808
-268.782433,137,1.777128
-99.943502,86,1.791659
-83.117464,87,1.805847
-55.579248,73,1.818111
-109.764338,66,1.828893
-113.316464,90,1.84295
-113.456703,89,1.873319
-65.839325,122,1.89279
-10.407335,95,1.908336
-367.878132,118,1.927504
-59.37169,90,1.942179
-87.851676,67,1.971233
-78.083872,78,1.984365
-88.423238,59,1.994183
-82.241655,85,2.008934
-138.095951,87,2.024319
-106.765376,63,2.037096
-114.329593,94,2.074074
-271.156299,117,2.093827
-100.880301,113,2.11234
-88.694329,125,2.131512
-142.40014,101,2.147441
-165.929899,114,2.181734
-106.395531,80,2.194252
-166.384961,97,2.210021
-136.10438,93,2.224372
-57.449466,85,2.237657
-240.924486,73,2.249193
-103.549773,73,2.277723
-109.66863,94,2.292768
-203.854464,145,2.316758
-74.467531,104,2.333266
-83.187456,110,2.350699
-62.678982,78,2.380943
-56.826449,85,2.394312
-68.52147,81,2.406762
-42.149773,84,2.419875
-136.766847,91,2.43386
-363.260936,129,2.469649
-76.79922,106,2.486001
-221.895567,120,2.504279
-144.177496,104,2.52011
-226.351743,122,2.538477
-323.677534,88,2.567984
-84.401353,108,2.584502
-237.435464,92,2.598339
-217.168152,103,2.61465
-394.631884,120,2.635559
-252.714973,97,2.671718
-83.607325,95,2.687385
-294.317564,130,2.708194
-279.780407,102,2.724453
-74.887087,90,2.738343
-76.123949,78,2.767026
-40.082212,67,2.777462
-84.574094,71,2.790026
-361.790462,97,2.806816
-59.299878,81,2.821072
-200.339618,125,2.841616
-211.294081,83,2.873007
-184.467924,119,2.892282
-454.404798,100,2.908064
-66.498938,68,2.919126
-94.733549,69,2.929882
-63.835434,103,2.961946
-278.285164,110,2.979098
-104.822947,94,2.993411
-109.062819,102,3.009068
-342.443559,106,3.0254
-188.893433,101,3.056527
-241.413862,139,3.077523
-231.600954,141,3.098657
-66.261381,79,3.110978
-85.57454,83,3.123699
-88.050572,111,3.155752
-119.728087,63,3.165485
-37.11891,115,3.18304
-447.66066,124,3.202379
-93.063545,103,3.218078
-124.201531,129,3.253241
-253.616746,110,3.270007
-219.756107,126,3.288982
-126.46501,146,3.3112
-101.681524,88,3.340053
-80.332252,122,3.358546
-224.658666,99,3.373609
-119.988398,106,3.389597
-228.291502,122,3.408195
-283.951687,136,3.443895
-114.211236,139,3.465168
-142.811976,85,3.478152
-68.081369,76,3.489755
-321.219181,110,3.506773
-395.271413,176,3.548808
-214.134539,79,3.56087
-254.53916,121,3.579319
-75.528442,157,3.618073
-223.768982,120,3.636397
-253.206029,105,3.65241
-113.384447,113,3.669743
-65.709885,80,3.681834
-258.675585,100,3.712911
-174.728466,143,3.73472
-208.050153,128,3.754081
-90.642647,113,3.771161
-47.732426,90,3.784851
-151.191974,142,3.8218
-22.624775,97,3.836751
-320.36967,157,3.860456
-62.162713,71,3.871588
-489.547888,114,3.904282
-152.91187,80,3.916754
-334.727051,116,3.934559
-116.772535,115,3.951941
-172.962828,156,3.990591
-177.804486,164,4.015315
-130.590006,129,4.034991
-212.370954,102,4.050497
-100.976126,121,4.083713
-133.890753,151,4.106636
-161.048757,104,4.122357
-219.273588,98,4.137391
-71.062977,143,4.158918
-78.167179,104,4.189728
-27.48361,150,4.212497
-183.462297,129,4.231742
-271.930126,145,4.268722
-313.479758,193,4.297652
-283.373361,169,4.323615
-340.690094,164,4.368133
-76.303156,139,4.389242
-307.008557,109,4.406148
-298.419135,124,4.424867
-219.650157,113,4.441766
-196.09313,182,4.488569
-13.639061,105,4.505403
-357.832986,156,4.529427
-481.79731,91,4.560539
-290.711695,99,4.576001
-235.527237,142,4.597715
-73.47897,109,4.614584
-246.708413,134,4.635162
-708.960297,174,4.6772
-325.179449,154,4.700739
-33.042198,116,4.718572
-288.92915,98,4.751573
-174.65372,121,4.770274
-347.002102,150,4.79372
-224.081417,98,4.808848
15.079166,118,4.826902
-81.747301,165,4.867553
-275.932194,98,4.882486
-160.993939,238,4.918551
-229.40475,107,4.950523
-173.982294,142,4.972171
-338.925812,167,4.997369
-21.559852,112,5.029602
-197.851304,208,5.061518
-199.930473,181,5.089131
-176.218878,152,5.127586
-2.818483,84,5.140756
-345.687702,82,5.153316
-99.399175,213,5.185914
-354.992824,95,5.201336
-45.465298,196,5.254333
-207.85565,199,5.286173
-319.058609,97,5.302904
-184.882592,143,5.409702
-470.7909,161,5.448445
-262.444621,104,5.473508
-281.219121,182,5.52378
-95.636039,111,5.541916
-200.677324,174,5.570317
-453.335626,170,5.59713
-208.315135,124,5.634489
-85.040998,172,5.661892
-176.005952,328,5.731911
-392.882549,117,5.750274
-255.657988,128,5.769986
-139.947789,185,5.816316
-457.851655,275,5.860098
-287.845045,286,5.921888
-268.804321,93,5.93713
-241.859651,105,5.9543
-290.053239,116,5.973204
-1449.414239,329,6.043223
-1183.392233,313,6.10891
-202.570035,137,6.131099
-481.33954,99,6.147501
-360.70619,77,6.160256
-508.032764,165,6.186111
-622.633008,210,6.236922
-327.956855,258,6.278137
-346.568124,140,6.31655
-422.042286,134,6.337084
-862.808246,340,6.403826
-386.024276,127,6.42293
-366.126281,296,6.467529
-254.355027,96,6.497817
-368.512892,105,6.514591
-465.560646,203,6.547775
-569.403554,135,6.569593
-635.197012,173,6.615514
-718.825122,385,6.696678
-500.030779,235,6.734925
-676.265504,221,6.768825
-365.237536,117,6.803
-351.770263,163,6.8275
-504.186692,124,6.846454
-232.945202,114,6.863851
-369.099005,158,6.904268
-413.021913,209,6.938543
-421.947601,177,6.965614
-355.713904,141,7.003446
-435.665471,247,7.040651
-457.734188,152,7.078712
-1326.96604,376,7.135428
-253.102324,118,7.168834
-341.053813,131,7.188783
-544.035536,302,7.234438
-393.085456,154,7.273042
-292.516685,132,7.292905
-12.237007,181,7.320752
-344.677382,118,7.353567
-175.965379,137,7.374337
-233.211708,140,7.395665
-252.687838,94,7.410124
-424.676208,127,7.429388
-175.227229,98,7.459474
-167.269684,221,7.492816
-257.419855,98,7.50777
-345.900397,153,7.546308
-276.213516,282,7.589132
-71.291571,241,7.641005
-195.864316,189,7.670751
-484.432934,205,7.702297
-161.681991,221,7.753256
-384.002231,274,7.80123
-196.166162,122,7.840229
-354.056356,179,7.870507
-376.150907,193,7.901188
-319.331223,166,7.943931
-162.647448,105,7.960583
-199.517498,127,7.980867
-249.590084,125,8.000394
-227.617417,195,8.045869
-500.390952,270,8.086683
-342.793534,187,8.131055
-297.126355,189,8.160027
-417.715638,139,8.181133
93.250306,1000,8.381886
-232.399234,186,8.426499
24.4815,106,8.443096
-232.468149,137,8.464089
-208.337735,202,8.494946
-175.899292,190,8.540077
-209.879346,154,8.563594
-456.549233,217,8.612626
6.718144,130,8.633571
-191.330909,137,8.654925
-376.385176,244,8.709052
-246.08135,104,8.725819
-329.385943,215,8.759746
-307.05933,144,8.782498
-186.927521,110,8.815471
-193.628708,261,8.85563
-263.348685,195,8.900755
-348.328515,172,8.926645
-222.460161,146,8.948855
-250.140989,208,8.995495
32.55141,112,9.012506
106.326997,1000,9.201935
-57.615225,112,9.219706
-238.176144,209,9.253242
88.598202,1000,9.447286
-17.664825,128,9.482285
-69.784002,224,9.51624
-69.630703,130,9.536108
-225.143444,149,9.573516
-195.265795,187,9.60194
-7.305444,152,9.624873
-38.4051,129,9.644137
-121.574403,193,9.688593
-10.839059,175,9.715295
36.089164,167,9.756031
-66.615465,180,9.783804
-267.210499,173,9.810101
5.751596,125,9.82978
-0.470411,153,9.868889
-270.203303,193,9.898022
-354.346931,290,9.956862
-107.356663,218,9.989914
-147.870519,196,10.020805
-82.49024,193,10.066479
-215.987742,166,10.091933
-301.87387,201,10.138182
-46.191246,161,10.16228
-67.292657,200,10.192395
-45.838554,98,10.207245
11.201818,129,10.242109
-10.500585,164,10.266792
-34.265827,154,10.290008
-87.558545,206,10.336689
-22.87479,131,10.356739
-96.215051,93,10.370901
-13.543794,137,10.391731
8.156147,127,10.426067
-46.260702,121,10.444623
-5.86607,105,10.460524
-45.904456,163,10.485456
-0.216218,203,10.53317
-38.849803,126,10.552453
-36.276526,125,10.571525
-5.839804,158,10.611311
-121.856174,124,10.630186
-26.428483,137,10.651372
-50.037334,209,10.698328
-37.217287,116,10.716049
-82.974372,174,10.743967
-142.742206,209,10.793229
14.319353,296,10.838375
-23.943904,99,10.853571
-40.311164,201,10.899385
-74.519662,156,10.923312
6.541684,129,10.9433
19.714728,211,10.990304
-96.954587,99,11.006416
-11.489249,159,11.035049
-27.016682,139,11.057887
-51.717199,178,11.117089
-1.826986,208,11.150458
-167.10942,92,11.165286
42.861306,132,11.203919
-72.994596,233,11.239992
21.219178,148,11.262423
-301.297888,227,11.313017
-90.327841,142,11.334764
-86.704403,243,11.386748
-44.357988,105,11.40282
-57.779948,273,11.443975
-124.224367,151,11.482047
-121.214581,121,11.500697
-100.183494,189,11.529254
-102.880926,245,11.581547
-118.814635,139,11.602933
-79.571177,201,11.633378
-150.383051,138,11.669544
-33.928075,261,11.708894
-223.963506,293,11.778902
-232.67372,244,11.819648
-366.24773,347,11.895733
-491.398493,240,11.935232
-35.821191,132,11.975191
-492.066402,332,12.033467
-24.441358,1000,12.238233
-219.750871,290,12.302863
-26.659104,301,12.351889
8.353665,150,12.392988
-18.33287,157,12.418416
-13.201352,199,12.450902
-145.632211,274,12.510208
102.085891,1000,12.710543
-68.626034,196,12.743063
-186.512291,249,12.800806
-35.533359,273,12.845243
-10.163934,151,12.88571
-24.411166,132,12.906754
2.98619,141,12.932564
-13.467558,173,12.962786
4.3683,195,13.009947
-19.205532,1000,13.21613
-67.504601,110,13.233631
45.866843,172,13.26097
-23.089948,160,13.303401
-32.845319,254,13.341921
-81.805972,235,13.393255
-33.326155,204,13.426241
