#{"t_start": 1765925097.70148, "env_id": "LunarLander-v3"}
r,l,t
-81.523138,62,0.015086
-271.232177,108,0.032171
-159.130527,76,0.044322
-201.315903,112,0.061698
-101.056787,73,0.073092
-193.425916,106,0.089498
-155.724047,93,0.104021
-348.098196,97,0.118873
-302.082757,100,0.134307
-311.487281,99,0.149678
-174.263434,108,0.199404
-231.724641,81,0.21321
-67.620259,72,0.225479
-128.626064,66,0.237048
-147.420707,128,0.261758
-362.559573,96,0.27694
-105.870465,66,0.287116
-515.136796,89,0.300868
-157.252941,64,0.311059
-172.668689,66,0.321631
-365.88413,105,0.338037
-126.936499,93,0.352848
-314.526327,104,0.402049
-353.210908,105,0.418452
-87.712878,117,0.436708
-311.507414,95,0.451398
-59.004517,107,0.46783
-159.950381,57,0.476781
-97.188012,137,0.497749
-85.424908,101,0.513222
-454.300656,105,0.529601
-378.092004,102,0.545386
-238.620243,110,0.594284
-145.492834,88,0.60794
-163.54856,66,0.618324
-260.761605,113,0.636038
-86.054481,108,0.652939
-114.894096,70,0.663797
-100.188605,126,0.682794
-264.721907,74,0.694288
-187.088858,138,0.71545
-281.264594,121,0.733946
-153.649335,85,0.747308
-92.298576,96,0.795043
-229.700089,89,0.809098
-121.877143,68,0.819592
-109.067738,92,0.833898
-162.650376,78,0.846292
-107.911098,77,0.858357
-89.713778,106,0.874873
-264.250673,105,0.891223
-168.693606,108,0.907908
-238.828373,120,0.926453
-252.468279,84,0.93945
-102.292833,87,0.984837
-82.73421,72,0.996339
-81.11566,116,1.014215
-120.505257,87,1.02783
-89.040296,67,1.038276
-130.682591,84,1.051445
-365.75358,106,1.067951
-190.243897,82,1.080859
-187.836647,83,1.093882
-320.526969,92,1.107925
-122.227885,78,1.119924
-60.964858,69,1.13071
-28.988923,114,1.180848
-251.531008,117,1.199238
-109.804509,124,1.218311
-108.703712,76,1.230573
-138.916285,85,1.279474
-128.505565,79,1.29311
-132.812589,80,1.306087
-102.998742,57,1.315697
-115.988482,70,1.32724
-150.053585,129,1.347834
-80.135109,112,1.449476
-63.229459,70,1.460721
-96.882587,108,1.477475
-103.242917,84,1.490453
-206.756998,84,1.503697
-235.697408,118,1.522099
-138.891935,104,1.538247
-62.772946,68,1.549087
-180.713874,78,1.561625
-376.787631,111,1.578629
-118.097743,90,1.592709
-323.954596,97,1.607877
-87.473367,102,1.655457
-113.470285,90,1.669403
-372.102897,116,1.687353
-306.524986,77,1.699316
-86.908754,63,1.709262
-275.987255,78,1.72141
-232.171813,95,1.736178
-129.119013,92,1.750764
