#{"t_start": 1765923081.2402291, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.022301
-119.873241,78,0.034453
-185.423307,64,0.044531
-378.535805,103,0.060553
-94.028087,74,0.071949
-134.417226,82,0.099958
-69.773732,69,0.110756
-74.9191,67,0.121042
-82.719534,73,0.132474
-472.871167,89,0.146269
-84.11878,90,0.160222
-138.799759,94,0.174622
-67.479222,74,0.200682
-72.039714,59,0.210447
-38.371426,96,0.225597
-75.198282,133,0.245905
-206.728531,109,0.262655
-262.696878,93,0.292829
-496.44322,101,0.308386
-136.709613,78,0.320856
-116.439629,62,0.331381
-215.907887,78,0.343872
-68.074596,86,0.357368
-58.015931,83,0.385725
-133.916526,75,0.39754
-99.21807,74,0.408944
-269.49065,125,0.428088
-120.577891,107,0.44438
-59.456204,70,0.455214
-30.304724,98,0.484916
-187.941828,98,0.49978
-108.186052,62,0.509597
-155.182843,116,0.527418
-208.315445,81,0.54026
-204.200809,113,0.573977
-138.5625,109,0.590855
-288.235311,77,0.602815
-183.275893,85,0.615857
-83.00671,119,0.634048
-187.08326,78,0.646202
-124.531948,103,0.677298
-130.422542,79,0.689502
-156.741064,88,0.702789
-108.234466,78,0.714628
-356.463624,101,0.730059
-154.014734,76,0.74194
-72.5856,70,0.767691
-427.091022,97,0.782467
-163.092802,68,0.793054
-299.387513,119,0.811101
-204.980553,116,0.828749
-83.561325,76,0.855703
-143.575565,129,0.875877
-339.514609,99,0.891164
-136.270824,96,0.905794
-237.927515,93,0.919942
-110.417276,87,0.948573
-243.346164,120,0.966958
-161.306911,63,0.976762
-113.015282,98,0.991823
-327.877907,89,1.005466
-178.27851,79,1.017851
-406.064016,106,1.049675
-268.319288,112,1.067018
-129.851183,98,1.082243
-87.09628,65,1.092538
-70.790454,59,1.101699
-104.164701,70,1.112737
-193.908793,104,1.144046
-24.399496,133,1.164543
-164.487764,95,1.179198
-106.672439,117,1.197252
-127.993451,88,1.210811
-109.368572,76,1.243625
-114.67253,77,1.256525
-256.446413,114,1.275641
23.090635,79,1.28903
-151.316959,121,1.309061
-149.155383,105,1.403623
-245.401471,130,1.424156
-97.369939,60,1.433499
-330.315156,96,1.44851
-90.490721,72,1.459758
-342.429415,87,1.473429
-68.231963,64,1.500327
-94.855279,78,1.51283
-224.776186,153,1.536166
-87.713514,72,1.547461
-49.571228,68,1.557914
-60.541781,111,1.574887
-106.765334,68,1.600104
-63.928588,71,1.612082
-229.051594,79,1.62444
-151.936808,66,1.634524
-91.48983,100,1.650155
-337.047611,98,1.665194
-127.716807,68,1.6911
-222.25547,123,1.710265
-242.456543,98,1.725757
-212.538478,132,1.745908
-79.275336,65,1.756094
-281.2957,146,1.794133
-89.162554,138,1.81523
-189.165575,118,1.833222
-170.513014,106,1.849274
-286.878487,133,1.884619
-158.349358,82,1.897602
-141.858613,88,1.911211
-17.337792,112,1.928568
-163.700505,133,1.948797
-109.354964,62,1.973369
-272.316504,130,1.993456
-63.83508,98,2.008427
-117.995156,133,2.028605
-307.137038,101,2.044087
-95.25066,93,2.073658
-97.103852,61,2.083089
-41.985938,114,2.100558
-138.390223,113,2.117769
-189.345214,128,2.13728
-117.790895,72,2.163335
-41.273741,68,2.173885
-69.871555,90,2.187542
-95.398948,66,2.197734
-134.902971,71,2.208717
-294.468636,110,2.225526
-191.180928,112,2.260433
-60.267462,66,2.27064
-250.623228,117,2.288766
