#{"t_start": 1765923309.201209, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.026996
-119.873241,78,0.039216
-185.423307,64,0.049587
-378.535805,103,0.066076
-94.028087,74,0.077674
-134.417226,82,0.106788
-69.773732,69,0.117742
-74.9191,67,0.128164
-82.719534,73,0.139347
-472.871167,89,0.153084
-84.11878,90,0.166877
-138.799759,94,0.181276
-67.479222,74,0.208514
-72.039714,59,0.217867
-38.371426,96,0.232907
-75.198282,133,0.253596
-206.728531,109,0.270661
-262.696878,93,0.301321
-496.44322,101,0.316793
-136.709613,78,0.328911
-116.439629,62,0.338475
-215.907887,78,0.35072
-68.074596,86,0.363908
-58.015931,83,0.392502
-133.916526,75,0.404085
-99.21807,74,0.415357
-269.49065,125,0.434077
-120.577891,107,0.450092
-59.456204,70,0.460731
-30.304724,98,0.490684
-187.941828,98,0.505582
-108.186052,62,0.515228
-155.182843,116,0.533079
-208.315445,81,0.545911
-204.200809,113,0.57834
-138.5625,109,0.594944
-288.235311,77,0.606812
-183.275893,85,0.619836
-83.00671,119,0.63802
-187.08326,78,0.650102
-124.531948,103,0.681525
-130.422542,79,0.693728
-156.741064,88,0.707123
-108.234466,78,0.71915
-356.463624,101,0.734595
-154.014734,76,0.746347
-72.5856,70,0.772166
-427.091022,97,0.786685
-163.092802,68,0.797062
-299.387513,119,0.814999
-204.980553,116,0.832724
-83.561325,76,0.862404
-143.575565,129,0.88234
-339.514609,99,0.897786
-136.270824,96,0.912875
-237.927515,93,0.927343
-110.417276,87,0.956345
-243.346164,120,0.974497
-161.306911,63,0.984077
-113.015282,98,0.998973
-327.877907,89,1.013234
-178.27851,79,1.026048
-406.064016,106,1.060223
-268.319288,112,1.077114
-129.851183,98,1.09219
-87.09628,65,1.102391
-70.790454,59,1.111559
-104.164701,70,1.12236
-193.908793,104,1.15373
-24.399496,133,1.173686
-164.487764,95,1.188458
-106.672439,117,1.206381
-127.993451,88,1.219887
-109.368572,76,1.254949
-114.67253,77,1.26901
-256.446413,114,1.288863
23.090635,79,1.30224
-151.316959,121,1.321181
-149.155383,105,1.412218
-245.401471,130,1.43244
-97.369939,60,1.441725
-330.315156,96,1.456907
-90.490721,72,1.468552
-342.429415,87,1.481814
-68.231963,64,1.507304
-94.855279,78,1.519573
-224.776186,153,1.543031
-87.713514,72,1.554109
-49.571228,68,1.564722
-60.541781,111,1.581876
-106.765334,68,1.607709
-63.928588,71,1.618798
-229.051594,79,1.630899
-151.936808,66,1.641008
-91.48983,100,1.656562
-337.047611,98,1.671838
-127.716807,68,1.697693
-222.25547,123,1.716403
-242.456543,98,1.731313
-212.538478,132,1.751304
-79.275336,65,1.76133
-281.2957,146,1.798501
