#{"t_start": 1765927957.696098, "env_id": "None"}
r,l,t
-143.612969,69,0.066337
-182.621972,90,0.143385
-195.158373,86,0.186802
-442.261119,109,0.229416
-116.734661,64,0.253995
-309.119623,92,0.296753
-492.196415,80,0.33286
-127.854166,80,0.36943
-333.71963,107,0.415016
-176.747899,119,0.471333
-124.245985,61,0.499617
-313.345385,97,0.666134
-529.644631,108,0.714643
-132.08367,57,0.740046
-74.685712,76,0.781173
-209.178044,77,0.818544
-146.445465,119,0.894751
-119.63222,65,0.964177
-123.577126,53,0.990089
-372.452627,84,1.027369
-212.661574,75,1.061958
-373.447501,96,1.105553
-108.571259,67,1.13689
-122.195876,93,1.179625
-160.544841,94,1.359276
-369.559549,74,1.402307
-212.437119,125,1.463045
-660.115597,114,1.550992
-137.036304,79,1.594487
-149.87286,61,1.622737
-75.992724,100,1.672553
-113.646186,62,1.703664
-59.368555,101,1.748164
-80.000993,62,1.776027
-156.02354,66,1.805044
-372.05008,91,1.844718
-157.16181,81,2.002351
-169.253076,120,2.054893
-146.855127,63,2.08311
-148.334249,80,2.117882
-86.843606,63,2.144864
-429.105273,111,2.193044
-196.233705,141,2.259645
-297.215462,115,2.344912
-128.238566,61,2.372468
-208.774026,64,2.401411
-249.648713,115,2.449941
-132.183966,74,2.567603
-160.415596,114,2.620161
-243.133113,113,2.706532
-229.041547,74,2.739436
-85.008236,112,2.789306
-164.984585,78,2.823223
-280.189738,114,2.874582
-112.665934,80,2.916261
-148.683372,69,2.946087
-358.403161,119,2.998743
-347.939453,90,3.076655
-368.27236,94,3.197738
-171.021297,78,3.23457
-124.493101,100,3.27904
-357.060053,105,3.326577
-94.86378,87,3.364977
-462.6312,90,3.439426
-443.341152,90,3.481675
-50.64445,123,3.535945
-174.194392,70,3.574434
-292.478333,99,3.635168
-92.176342,63,3.674562
-298.472067,100,3.858505
-385.97636,98,3.921144
-278.568203,102,3.988568
-279.782409,86,4.048387
-296.886897,106,4.110876
-229.541104,77,4.145169
-152.823446,69,4.176754
-403.846682,102,4.263273
-86.984011,67,4.304156
-105.314663,64,4.345449
-120.520236,83,4.396484
-117.015562,88,4.437992
-178.869732,86,4.565829
-117.499569,80,4.601219
-136.900429,60,4.681768
-203.968338,91,4.729136
-155.649691,70,4.759794
-202.444694,98,4.803177
-145.842805,75,4.836379
-134.746742,95,4.87724
-175.977442,107,4.924186
-233.78274,124,4.976874
-190.036301,81,5.053996
-63.650302,66,5.084153
-123.692914,69,5.195948
-332.863236,88,5.236797
-151.495655,90,5.278398
-149.199053,61,5.305909
-138.70133,65,5.335765
-160.098173,110,5.424999
-338.805248,111,5.477439
-123.738961,93,5.518293
-165.708239,120,5.569607
-210.826611,74,5.603404
-66.151091,96,5.646467
-126.710239,71,5.792118
-158.441396,80,5.837499
-145.52968,110,5.886558
-124.098626,56,5.911572
-507.680202,103,5.955979
-249.4041,72,5.988906
-98.77472,72,6.021079
-148.670735,86,6.05852
-247.444394,89,6.098015
-219.721589,132,6.192889
-528.32779,104,6.240182
-117.461709,67,6.270761
-329.590956,95,6.416107
-144.049297,87,6.456565
-472.994921,97,6.499694
