#{"t_start": 1765932238.885452, "env_id": "None"}
r,l,t
-100.333185,62,0.081657
-340.761145,108,0.110295
-198.566263,76,0.122816
-258.385042,112,0.140921
-129.534709,73,0.152707
-253.473197,106,0.169308
-200.518326,93,0.183984
-417.567136,97,0.199532
-367.421318,100,0.21667
-376.028844,99,0.233881
-234.319145,108,0.409764
-287.447304,81,0.423923
-96.14722,72,0.435587
-152.132138,66,0.446399
-214.324462,128,0.466845
-437.940493,96,0.48236
-140.594537,66,0.493508
-610.953492,89,0.508411
-186.447223,64,0.519437
-210.887163,66,0.530341
-423.809608,104,0.548149
-136.23317,71,0.56038
-110.61235,74,0.57301
-116.558068,63,0.636053
-55.720437,116,0.655052
-242.328104,79,0.667516
-198.456862,70,0.67872
-179.743235,102,0.694438
-179.04497,70,0.705731
-285.850924,112,0.72324
-241.880169,74,0.734832
-415.353571,98,0.750262
-282.556663,67,0.7612
-200.248812,113,0.778802
-117.667704,68,0.790338
-478.779933,88,0.840627
-153.950456,110,0.859261
-225.654093,99,0.875933
-295.648084,111,0.893816
-207.610916,91,0.90814
-141.062087,64,0.918204
-121.125838,68,0.928789
-378.665991,114,0.946756
-362.796396,69,0.958538
-236.557804,72,0.970724
-115.928991,71,0.981899
-118.221032,68,0.993698
-168.840332,96,1.045415
-136.21169,91,1.060299
-128.341327,85,1.07389
-135.06927,70,1.085019
-135.873654,155,1.109485
-152.522168,92,1.123898
-196.428348,73,1.1357
-142.180343,66,1.146156
-169.871993,122,1.165746
-310.206402,80,1.179279
-182.057182,96,1.194838
-313.328097,139,1.297524
-149.951612,93,1.312983
-154.832652,74,1.32517
-394.103216,82,1.33882
-96.826436,68,1.378332
-190.777094,70,1.406419
-106.152608,65,1.41665
-99.947008,76,1.429354
-100.252892,57,1.43874
-128.662737,78,1.450934
-102.734133,80,1.463896
-104.710645,68,1.474972
-268.356702,133,1.529377
-291.849005,80,1.54248
-312.091465,102,1.558574
-252.578951,82,1.571503
-250.451759,108,1.588362
-183.70761,82,1.600958
-481.620223,100,1.616656
-476.414423,81,1.62955
-320.118484,111,1.646554
-151.884231,87,1.660273
-91.322399,80,1.672785
-139.012635,92,1.71694
-387.296784,103,1.733269
-330.508994,125,1.752775
-127.273305,74,1.764599
-27.177236,96,1.779721
-289.009752,131,1.800029
-151.072621,75,1.811621
-459.936425,142,1.833173
-106.521929,139,1.854983
-215.225427,68,1.8655
-155.992554,98,1.911591
-160.869961,79,1.923974
-143.410752,80,1.936539
-401.832991,105,1.952689
-391.547921,79,1.964926
-382.917816,135,1.985916
-341.356431,99,2.001145
-160.374097,70,2.011974
-236.029971,117,2.029868
-384.245762,88,2.043281
-314.601997,66,2.053792
-155.533919,73,2.096608
-25.967449,105,2.113031
-175.302885,97,2.128223
-141.742407,82,2.140889
-367.787897,103,2.15692
-268.42375,88,2.170635
-211.106926,116,2.188297
-469.818884,98,2.203306
-127.805163,83,2.21595
-136.865831,73,2.227183
-114.910081,79,2.23933
-117.315386,68,2.249808
-309.13781,117,2.298768
-131.354279,102,2.314555
-213.521405,97,2.329577
-87.986625,82,2.342298
-334.861417,105,2.358936
-188.815799,98,2.374252
-109.362974,100,2.389801
-148.181687,83,2.402634
-171.53894,132,2.423109
-169.968025,119,2.441528
-88.990004,128,2.491173
-91.899356,65,2.501362
-215.303622,85,2.514831
-89.606031,123,2.534059
-95.238823,68,2.544811
-241.439813,85,2.558422
-161.390305,78,2.570832
-129.293002,98,2.585995
-174.651508,114,2.603728
-97.587285,75,2.615373
-167.16326,116,2.633282
-207.941878,96,2.680019
-153.57786,73,2.691509
-278.098449,107,2.708074
-274.151981,137,2.729112
-101.706301,65,2.73923
-386.878808,91,2.753337
-191.810887,78,2.765193
-156.37491,80,2.777698
-382.644378,88,2.791554
-206.986836,121,2.810633
-262.15507,99,2.857206
-125.21595,61,2.866739
-123.16155,78,2.879609
-125.667477,62,2.890154
-118.108698,72,2.901673
-213.795198,132,2.922109
-235.13327,92,2.936458
-73.791129,67,2.947031
-193.085044,115,2.965075
-256.239617,121,2.984042
-131.75186,55,2.992809
-286.466003,88,3.006523
-154.501546,59,3.015684
-176.475754,95,3.059949
-237.078915,68,3.07093
-192.045848,110,3.088143
-404.589038,104,3.103943
-335.729979,74,3.115517
-173.931742,98,3.130686
-124.361642,81,3.143399
-456.428825,116,3.161022
-105.243924,69,3.171806
-99.272093,76,3.183461
-325.751997,111,3.200433
-204.791934,87,3.24325
-303.307673,97,3.258473
-377.323375,103,3.27457
-681.827311,118,3.292733
-189.445121,82,3.305462
-225.854382,104,3.321534
-534.248655,98,3.336519
-107.891379,79,3.34855
-130.846078,72,3.359755
-236.329104,136,3.380635
-87.832224,71,3.39188
-123.91951,84,3.434079
-129.350824,110,3.451112
-349.742592,93,3.465497
-124.093324,69,3.476993
-119.547365,65,3.487941
-155.99369,75,3.499777
-180.826606,133,3.52121
-379.440386,93,3.53572
-240.062215,115,3.554081
-295.788058,104,3.570958
-151.105137,85,3.584244
-580.029097,124,3.635253
-152.687751,121,3.654036
-464.602275,147,3.677116
-161.739978,88,3.691097
-467.826391,128,3.71089
-130.230392,56,3.719835
-163.271218,115,3.73751
