#{"t_start": 1765923250.869474, "env_id": "LunarLander-v3"}
r,l,t
-144.710786,126,0.030222
-119.873241,78,0.045298
-185.423307,64,0.057766
-378.535805,103,0.076436
-94.028087,74,0.088559
-134.417226,82,0.123178
-69.773732,69,0.135534
-74.9191,67,0.146863
-82.719534,73,0.159081
-472.871167,89,0.174748
-84.11878,90,0.189739
-138.799759,94,0.205261
-67.479222,74,0.238963
-72.039714,59,0.249575
-38.371426,96,0.265829
-75.198282,133,0.287289
-206.728531,109,0.305283
-262.696878,93,0.338689
-496.44322,101,0.354912
-136.709613,78,0.36776
-116.439629,62,0.378844
-215.907887,78,0.391234
-68.074596,86,0.40443
-58.015931,83,0.435282
-133.916526,75,0.449449
-99.21807,74,0.46273
-269.49065,125,0.483645
-120.577891,107,0.501105
-59.456204,70,0.51276
-30.304724,98,0.54762
-187.941828,98,0.563594
-108.186052,62,0.573469
-155.182843,116,0.592777
-208.315445,81,0.606092
-204.200809,113,0.640125
-138.5625,109,0.65716
-288.235311,77,0.669752
-183.275893,85,0.698597
-83.00671,119,0.727116
-187.08326,78,0.747562
-124.531948,103,0.791172
-130.422542,79,0.805156
-156.741064,88,0.83319
-108.234466,78,0.847356
-356.463624,101,0.867423
-154.014734,76,0.880927
-72.5856,70,0.913941
-427.091022,97,0.931633
-163.092802,68,0.943331
-299.387513,119,0.963962
-204.980553,116,0.990121
-83.561325,76,1.046796
-143.575565,129,1.071445
-339.514609,99,1.090471
-136.270824,96,1.109633
-237.927515,93,1.128339
-110.417276,87,1.166172
-243.346164,120,1.190152
-161.306911,63,1.202725
-113.015282,98,1.22135
-327.877907,89,1.240513
-178.27851,79,1.261687
-406.064016,106,1.311714
-268.319288,112,1.335579
-129.851183,98,1.352041
-87.09628,65,1.363181
-70.790454,59,1.42624
-104.164701,70,1.452087
-193.908793,104,1.494782
-24.399496,133,1.521061
-164.487764,95,1.539842
-106.672439,117,1.560664
-127.993451,88,1.575717
-109.368572,76,1.609622
-114.67253,77,1.623278
-256.446413,114,1.643144
23.090635,79,1.656277
-151.316959,121,1.677142
-149.155383,105,1.712834
-245.401471,130,1.734208
-97.369939,60,1.744352
-330.315156,96,1.760104
-90.490721,72,1.771644
-342.429415,87,1.785905
-68.231963,64,1.813399
-94.855279,78,1.826587
-224.776186,153,1.85199
-87.713514,72,1.864053
-49.571228,68,1.875146
-60.541781,111,1.89294
-106.765334,68,1.922034
-63.928588,71,1.933339
-229.051594,79,1.94604
-151.936808,66,1.957042
-91.48983,100,1.972973
-337.047611,98,1.988021
