#{"t_start": 1765926643.0145001, "env_id": "None"}
r,l,t
-264.529403,74,0.038442
-78.922868,65,0.048677
-197.514242,148,0.071584
-508.082561,107,0.088555
-150.015149,112,0.106087
-200.722947,71,0.117158
-148.01063,94,0.131673
-114.353938,62,0.141421
-100.746304,80,0.154059
-111.208141,67,0.164451
-224.325856,129,0.184812
-93.433094,57,0.232725
-157.064238,137,0.256485
-281.227292,129,0.277419
-96.219284,109,0.294818
-188.234468,87,0.308808
-213.012305,84,0.322232
-262.68401,79,0.335086
-165.422219,106,0.351717
-325.432699,104,0.36779
-218.626137,112,0.385423
-269.483301,85,0.431487
-215.34386,66,0.442106
-241.348836,85,0.455586
-282.316916,136,0.476716
-192.723839,63,0.486662
-352.494475,139,0.508269
-380.51939,117,0.526139
-369.657054,102,0.542607
-179.448854,66,0.553671
-138.212347,110,0.571196
-159.663121,64,0.581251
-458.461821,111,0.630943
-209.510965,86,0.644578
-159.958204,79,0.657593
-81.366888,64,0.667686
-438.420073,97,0.682888
-209.343474,110,0.700271
-106.858672,101,0.71592
-206.904805,102,0.731536
-128.312865,69,0.742501
-362.535751,108,0.759397
-599.800097,106,0.77585
-153.075083,118,0.825532
-194.158087,103,0.841747
-289.974964,71,0.852913
-134.938644,107,0.869819
-92.805626,64,0.879767
-149.854201,66,0.890331
-210.117339,136,0.911397
-12.844516,111,0.929171
-187.917993,92,0.943637
-170.955139,90,0.957762
-180.123552,109,1.006352
-228.656782,129,1.026313
-266.171707,80,1.038837
-197.912188,79,1.051542
-143.708857,74,1.06371
-199.413132,114,1.081531
-134.89821,88,1.09521
-598.510254,135,1.11661
-138.895194,79,1.129036
-331.717937,124,1.148365
-547.047983,90,1.162408
-226.649483,68,1.20416
-373.306885,103,1.220162
-506.506999,101,1.23614
-93.107972,65,1.247114
-185.105669,89,1.26184
-169.363513,81,1.275966
-151.17229,94,1.291943
-241.23036,125,1.31302
-118.284168,61,1.323245
-168.688937,110,1.341037
-271.010959,107,1.41971
-137.875702,82,1.464968
-145.957568,66,1.475566
-354.820878,93,1.490085
-125.790861,78,1.502564
-203.371461,83,1.515544
-139.582163,81,1.528708
-157.865492,113,1.546383
-203.489118,111,1.563698
-152.503697,65,1.574433
-278.458291,111,1.597714
-221.649079,114,1.623559
-189.515936,73,1.694635
-429.251806,88,1.713929
-137.980525,88,1.728041
-131.144265,78,1.740609
-163.441389,80,1.753417
-141.098327,79,1.765808
-145.952547,71,1.777005
-306.323026,118,1.795555
-466.363119,93,1.80995
-135.89098,78,1.822042
-272.264776,136,1.842999
-316.295742,92,1.857711
-116.790307,70,1.901423
-374.746813,96,1.916443
-290.047833,89,1.930622
-103.463911,71,1.941739
-376.397825,117,1.959938
-392.448033,127,1.979586
-290.166595,119,1.998536
-109.19643,130,2.019058
-95.916334,74,2.030498
-110.232666,74,2.042386
-444.339001,96,2.089711
-204.792081,95,2.104775
-453.551748,114,2.122455
-205.9148,62,2.132284
-114.64826,70,2.143156
-16.485862,97,2.15839
-87.067145,110,2.175719
-110.414239,104,2.191867
-162.074558,67,2.202588
-29.164024,59,2.211829
-167.991981,112,2.229182
-123.196505,81,2.241917
-315.679319,99,2.290489
-114.643401,79,2.302942
-310.695149,113,2.320141
-168.405287,69,2.330783
-187.836244,67,2.341564
-210.622663,85,2.354751
-115.14783,65,2.364859
-159.434269,65,2.375255
-129.191039,92,2.389759
-341.053589,79,2.402263
-295.839531,122,2.421123
-177.333778,92,2.435565
-375.125886,93,2.48148
-146.950194,77,2.493798
-232.315647,70,2.505053
-279.604953,102,2.520964
-145.206752,72,2.532162
-189.807373,64,2.542225
-379.941951,110,2.559086
-121.548863,62,2.5688
-83.706813,58,2.577956
-225.543315,84,2.591496
-417.907464,118,2.609581
-210.740003,77,2.621457
-168.892424,73,2.663506
-260.589234,137,2.685015
-234.127363,124,2.704317
-153.041487,69,2.715116
-360.451039,97,2.729964
-80.588812,90,2.744042
-227.871995,75,2.755699
-157.56665,92,2.770026
-411.893332,109,2.787297
-119.945712,69,2.798024
-173.349504,69,2.808849
-107.567227,59,2.818179
-260.19681,72,2.861004
-124.884922,64,2.871498
-133.924497,78,2.883898
-128.324488,76,2.895907
-120.093436,58,2.905278
-206.95484,96,2.920476
-174.046964,88,2.934541
-141.456821,107,2.951796
-194.848091,87,2.96537
-87.543188,74,2.978656
-155.215096,64,2.989215
-173.838228,118,3.007908
-370.207563,96,3.056028
-191.153626,83,3.069756
-382.728519,115,3.087918
-215.855657,79,3.100294
-183.639891,70,3.111196
-425.315229,103,3.127342
-465.989759,77,3.139551
-142.074433,64,3.149617
-236.316743,73,3.16098
-172.583289,101,3.176783
-135.525574,89,3.190762
-143.680399,85,3.20393
-166.655851,85,3.250923
-119.1041,93,3.265501
-191.111154,67,3.276354
-286.79983,99,3.29198
-161.2293,106,3.308769
-81.359236,70,3.319919
-302.330792,102,3.335836
-201.320563,108,3.352686
-357.165582,112,3.370269
-305.002491,120,3.388949
-224.451938,104,3.405406
-139.057256,101,3.452817
-284.788846,107,3.470065
-281.17784,68,3.480903
-141.650237,85,3.494329
-181.96906,116,3.51255
-392.3478,134,3.533067
-150.987163,86,3.546573
-300.473374,91,3.561229
-122.745074,81,3.573924
-196.385186,62,3.583679
-153.559574,80,3.596054
-149.227411,63,3.637415
-170.487217,113,3.655387
-107.535464,61,3.66507
-255.79063,111,3.682246
-127.251948,109,3.699118
-102.926986,78,3.711264
-239.829229,69,3.722178
-129.553882,70,3.733103
-156.131055,66,3.743455
-141.674771,92,3.757918
-126.375585,108,3.774664
-108.430983,106,3.823185
-98.992671,64,3.833282
-171.464058,79,3.845631
-98.514363,72,3.857057
-405.876555,95,3.872046
-131.983823,70,3.883108
-110.726175,72,3.894534
-431.004787,92,3.909385
-197.05676,103,3.925574
-385.804457,95,3.940387
-315.428579,118,3.958799
-125.344259,69,3.969697
-78.58469,117,4.019279
-143.792,75,4.031161
-126.237315,60,4.040739
-185.924911,111,4.057833
-150.25001,90,4.071885
-154.387757,136,4.092756
-167.870314,99,4.108204
-235.159396,114,4.125871
-60.641625,64,4.136009
-213.917628,79,4.148369
-470.554826,121,4.167562
-143.614311,86,4.213759
-437.945668,89,4.227745
-101.922333,60,4.237458
-168.721364,60,4.246904
-52.570069,89,4.260745
-422.078867,84,4.274035
-111.773799,61,4.283693
-103.584311,69,4.294532
-267.541319,122,4.313639
-148.478106,99,4.329045
-303.388749,102,4.344717
-151.414181,82,4.357433
-169.473173,95,4.403741
-206.025126,121,4.422415
-160.238833,80,4.434921
-143.665843,70,4.445839
-25.976092,95,4.460768
-263.958224,77,4.472954
-188.577558,94,4.487608
-110.368399,101,4.503426
-207.226625,60,4.512815
-138.831015,127,4.532401
-132.616635,85,4.545559
-397.795363,94,4.591281
-119.020415,111,4.608379
-62.852223,76,4.620275
-123.318243,82,4.632953
-260.885207,113,4.650617
-97.333991,66,4.660903
-134.574307,67,4.671365
-432.697232,97,4.686752
-190.055422,127,4.706345
-295.036218,117,4.724838
-153.697434,65,4.735095
-159.771098,84,4.748015
-92.632311,65,4.789328
-215.972412,95,4.80442
-134.046113,97,4.819995
-311.375992,90,4.834225
-279.386803,114,4.851998
-172.755858,89,4.865956
-121.540817,85,4.879432
-407.094861,90,4.894023
-150.438781,103,4.910261
-105.690116,61,4.919898
-155.875474,81,4.932608
-207.157093,92,4.979126
-212.849616,109,4.996584
-136.1721,91,5.010947
-279.615328,118,5.029465
-62.934543,86,5.043264
-409.248215,77,5.055654
-444.92535,85,5.069104
-255.050989,90,5.083274
-194.740951,81,5.096112
-143.988891,75,5.107958
-161.817703,71,5.119091
-367.196002,126,5.170294
-117.222481,93,5.185013
-205.484618,65,5.195423
-115.347445,62,5.205324
-414.274756,119,5.223769
-72.333168,66,5.234378
-129.98306,88,5.248341
-557.230227,122,5.267504
-134.196912,76,5.279468
-136.85696,76,5.291697
-127.463064,84,5.305033
-141.646911,87,5.318627
-336.729843,107,5.366345
-82.642924,72,5.377779
-156.815138,74,5.38943
-137.845857,98,5.404883
-203.127252,91,5.419316
-248.542932,109,5.436367
-97.995559,65,5.44651
-292.379565,1000,5.638054
-119.621883,81,5.650786
-181.540592,99,5.666039
-242.934198,137,5.687113
-165.431149,96,5.701899
-141.248502,87,5.715274
-136.201922,117,5.764952
-227.833102,66,5.775493
-213.536698,101,5.791446
-109.585836,93,5.805976
-578.960938,117,5.824294
-159.913584,125,5.843288
-316.029744,86,5.856793
-219.236809,97,5.871946
-159.732122,122,5.890855
-405.512138,119,5.940797
-114.459679,72,5.952179
-96.171944,76,5.964054
-283.738465,83,5.976966
-164.204673,74,5.988898
-150.075905,77,6.001244
-115.151487,63,6.011072
-109.403628,72,6.022432
-107.054918,87,6.036334
-137.057671,83,6.049305
-360.363086,117,6.067727
-198.732358,85,6.080952
-64.512642,110,6.098367
-333.348152,117,6.147781
-349.487812,108,6.164603
-148.388772,77,6.176783
-147.22582,104,6.193139
-154.778117,91,6.207293
-196.326872,124,6.226295
-175.008372,82,6.238959
-233.976818,107,6.255906
-144.220856,134,6.276701
-200.77074,77,6.288936
-98.864264,59,6.329654
-63.472535,92,6.344274
-136.220408,78,6.356373
-215.162808,103,6.372392
-142.282128,107,6.389222
-260.724024,63,6.399358
-159.056117,94,6.4142
-86.882646,72,6.425437
-275.300195,84,6.43851
-144.715641,121,6.457397
-103.061654,123,6.476578
-118.89218,83,6.521772
-128.539221,70,6.533243
-125.238827,71,6.545011
-148.002388,79,6.55782
-124.571404,88,6.571649
-521.4873,93,6.586032
-159.248927,99,6.601397
-347.610097,131,6.621661
-389.229642,108,6.638431
-191.004681,100,6.654112
-52.462115,109,6.671137
-137.341048,66,6.714506
-184.103155,84,6.727809
-91.461658,77,6.740041
-157.724084,78,6.752798
-112.501786,82,6.766271
-304.680136,108,6.789742
-141.982198,91,6.80827
-224.157147,94,6.824386
-119.936153,97,6.84083
-179.870547,59,6.851368
-143.914615,91,6.867284
-167.010753,111,6.886132
-147.699253,92,6.942529
-103.97044,106,6.963062
-116.373232,75,6.981479
-241.531058,106,7.001833
-202.317326,111,7.022168
-137.620903,108,7.040569
-442.914847,86,7.05802
-237.034158,105,7.075271
-140.26445,89,7.094383
-260.52447,86,7.10822
-337.649275,90,7.161398
-298.610501,113,7.180589
-119.590796,122,7.200512
-118.557125,92,7.21604
-230.066641,82,7.22905
-137.741098,95,7.244059
-119.018312,87,7.25787
-101.044036,68,7.268575
-122.174736,87,7.282223
-255.189219,115,7.30056
-587.428129,99,7.315898
-203.185837,108,7.363998
-225.932202,125,7.383374
-88.872981,70,7.394432
-270.584498,77,7.406503
-125.975454,74,7.418015
-324.153105,112,7.435074
-135.317266,89,7.448668
-103.334063,114,7.466297
-410.082626,100,7.481452
-135.749691,95,7.496029
-131.790999,76,7.50769
-99.157926,56,7.547142
-166.879239,93,7.561414
-349.64924,87,7.574946
-129.425199,84,7.587931
-144.270661,87,7.601701
-87.339555,79,7.613999
-140.169569,96,7.628659
-118.771868,60,7.63809
-213.185244,93,7.652357
-91.838892,69,7.662993
-100.288704,67,7.673399
-399.860336,104,7.689198
-352.153829,119,7.738798
-151.684606,68,7.749413
-147.366556,103,7.765325
-241.776842,100,7.7807
-110.502402,68,7.791092
-152.765481,69,7.801688
-244.078485,114,7.819168
-162.260884,96,7.833882
-250.32317,88,7.847522
-118.392259,70,7.8584
-309.484023,114,7.877864
-199.34621,104,7.927888
-278.875364,132,7.95073
-183.600236,87,7.96571
-289.384374,97,7.981268
-146.183705,112,7.998602
-136.907946,93,8.013096
-58.447541,126,8.032657
-214.649991,74,8.044169
-414.436474,103,8.060622
-151.779893,99,8.075934
-167.581068,105,8.123349
-149.532062,114,8.141116
-144.049894,98,8.156296
-84.945243,65,8.16675
-198.449568,68,8.17756
-103.967279,111,8.19473
-165.382583,101,8.210482
-151.854695,78,8.222607
-170.559269,117,8.241289
-127.96824,76,8.253165
-239.517844,110,8.270278
-151.632772,100,8.318508
-102.334467,88,8.332303
-239.370821,72,8.343724
-95.152759,106,8.360377
-130.508069,86,8.373815
-260.16118,110,8.391021
-156.832166,66,8.40136
-188.194166,100,8.417241
-81.607153,57,8.42622
-293.606826,68,8.437055
-244.898841,78,8.449293
-61.166113,84,8.462425
-153.217769,85,8.475727
-288.529796,83,8.519846
-127.757314,82,8.532701
-153.415427,75,8.544442
-292.720004,75,8.55611
-83.952633,63,8.566006
-258.311884,72,8.577295
-133.610536,79,8.58945
-90.465669,78,8.601575
-324.296628,118,8.619748
-359.445338,88,8.633546
-101.022886,101,8.649137
-171.142942,118,8.698128
-169.283639,99,8.713479
-105.368482,67,8.72393
-562.533784,98,8.738869
-163.374748,75,8.750376
-219.289308,92,8.764503
-195.728742,80,8.776859
-139.563256,77,8.788828
-257.543618,79,8.800941
-405.278226,86,8.814349
-331.913584,106,8.831145
-128.750663,81,8.843733
-159.602826,91,8.888637
-188.324861,68,8.899223
-180.91536,123,8.918023
-113.330563,81,8.930432
-339.415889,114,8.947769
-119.937791,131,8.967571
-142.019451,114,8.984842
-441.620412,95,8.999558
-133.292498,83,9.012663
-594.269294,89,9.026274
-164.975121,122,9.075926
-88.9366,63,9.085831
-104.076953,74,9.09734
-268.286545,112,9.114675
-216.85149,124,9.133516
-158.003322,90,9.147305
-392.883209,135,9.167974
-124.088834,61,9.177366
-229.352099,97,9.192124
-150.457342,62,9.202165
-93.997201,82,9.214821
-166.395178,70,9.225614
-281.42765,92,9.270023
-95.988937,71,9.280976
-231.770636,88,9.294428
-94.776202,71,9.305419
-113.460375,61,9.31493
-155.381298,68,9.32539
-147.832319,69,9.336015
-111.26506,62,9.345586
-313.403246,129,9.365085
-142.286498,91,9.378904
-161.137806,112,9.396017
-139.784332,65,9.406126
-213.128118,68,9.416813
-213.648218,116,9.464453
-117.815631,72,9.475575
-288.734872,116,9.493516
-189.18605,92,9.507521
-133.904486,109,9.524248
-182.975264,101,9.539516
-172.588622,90,9.553382
-59.041651,86,9.566469
-147.318024,72,9.577686
-489.752361,113,9.59473
-120.066117,65,9.604781
-179.617853,97,9.650187
-214.548045,106,9.666358
-262.605971,93,9.680662
-201.595353,86,9.693893
-156.567081,115,9.711368
-109.037012,68,9.721897
-475.056359,119,9.739984
-252.431186,95,9.754389
-102.722002,119,9.772502
-59.822739,68,9.782952
-171.422863,119,9.830842
-97.407188,66,9.841055
-224.570954,115,9.858537
-178.171661,102,9.874112
-113.783321,93,9.888317
-85.734721,67,9.898653
-140.564113,101,9.914008
-144.727975,132,9.934108
-599.469197,130,9.953932
-115.487158,60,9.963179
-127.001836,70,9.973838
-129.998769,119,10.022599
-254.861917,102,10.038396
-123.507389,68,10.048973
-285.953901,100,10.064436
-91.12723,79,10.076669
-123.654213,66,10.086848
-373.375531,135,10.107577
-128.042516,66,10.11778
-128.776875,104,10.133913
-145.758701,86,10.147196
-131.656345,91,10.161147
-128.939538,72,10.202562
-186.081134,102,10.218195
-344.298733,88,10.231812
-95.072681,147,10.25445
-230.028402,93,10.268735
-98.673363,61,10.278156
-130.02336,74,10.289549
-186.141452,82,10.302186
-292.498517,119,10.320429
-225.899105,130,10.340319
-175.517036,102,10.355888
-181.943978,96,10.400513
-141.562958,116,10.418108
